Gene,Kind,Owner,File,Line,Templates
gene_bs_mouth_upper_lip_forward,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,936,vanilla_upper_lip_forward | mouth_upper_lip_forward
gene_bs_mouth_upper_lip_full,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3089,mouth_upper_lip_full_neg | mouth_upper_lip_full_pos
gene_bs_mouth_upper_lip_profile,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3126,mouth_upper_lip_profile_neg | mouth_upper_lip_profile_pos
gene_bs_mouth_upper_lip_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3163,mouth_upper_lip_width_neg | mouth_upper_lip_width_pos
gene_bs_nose_central_width,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,232,vanilla_nose_central_width | nose_central_width_neg | nose_central_width_pos
gene_bs_nose_flared_nostril,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,907,vanilla_nose_flared_nostril | nose_flared_nostril
gene_bs_nose_forward,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3200,nose_forward_neg | nose_forward_pos
gene_bs_nose_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3237,nose_height_neg | nose_height_pos
gene_bs_nose_length,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3274,nose_length_neg | nose_length_pos
gene_bs_nose_nostril_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3311,nose_nostril_height_neg | nose_nostril_height_pos
gene_bs_nose_nostril_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3348,nose_nostril_width_neg | nose_nostril_width_pos
gene_bs_nose_profile,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3385,nose_profile_neg | nose_profile_pos | nose_profile_hawk | nose_profile_hawk_pos | nose_profile_aquiline_01 | nose_profile_aquiline_02 | nose_profile_brody_01
gene_bs_nose_ridge_angle,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3513,nose_ridge_angle_neg | nose_ridge_angle_pos
gene_bs_nose_ridge_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3550,nose_ridge_width_neg | nose_ridge_width_pos
gene_bs_nose_septum_height,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,834,vanilla_nose_septum_height | nose_septum_height
gene_bs_nose_septum_width,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,276,vanilla_nose_septum_width | nose_septum_width_neg | nose_septum_width_pos
gene_bs_nose_size,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3587,nose_size_neg | nose_size_pos
gene_bs_nose_swollen,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,994,vanilla_nose_swollen | nose_swollen
gene_bs_nose_tip_angle,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3624,nose_tip_angle_neg | nose_tip_angle_pos
gene_bs_nose_tip_forward,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3661,nose_tip_forward_neg | nose_tip_forward_pos
gene_bs_nose_tip_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,3698,nose_tip_width_neg | nose_tip_width_pos
gene_bs_pregnant,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,6,
gene_bubonic_plague,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,17,bubonic_plague
gene_camera_zoom,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,29,no_camera_zoom | linear_camera_zoom | dragon_size_portrait_camera | dragon_size_fixed_frame_zoom
gene_chin_forward,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,376,chin_forward_neg | chin_forward_pos
gene_chin_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,413,chin_height_neg | chin_height_pos
gene_chin_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,449,chin_width_neg | chin_width_pos
gene_cloak,morph_genes,CK3,common/genes/10_genes_special_misc.txt,251,cloak_additive
gene_clubfooted,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,1130,clubfooted
gene_dragon,accessory_genes,A Game of Thrones,common/genes/dragon_accessory_genes.txt,2,human_body | dragon
gene_dragon_aging,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,5,non_dragon_aging | dragon_aging
gene_dragon_back_spike_size,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1472,dragon_back_spike_size
gene_dragon_body_pattern,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,2245,dragon_body_pattern_stripes_1_black | dragon_body_pattern_stripes_1_white | dragon_body_pattern_stripes_1_secondary | dragon_body_pattern_stripes_1_tertiary | dragon_body_pattern_stripes_2_black | dragon_body_pattern_stripes_2_white | dragon_body_pattern_stripes_2_secondary | dragon_body_pattern_stripes_2_tertiary | dragon_body_pattern_stripes_3_black | dragon_body_pattern_stripes_3_white | dragon_body_pattern_stripes_3_secondary | dragon_body_pattern_stripes_3_tertiary | dragon_body_pattern_stripes_4_black | dragon_body_pattern_stripes_4_white | dragon_body_pattern_stripes_4_secondary | dragon_body_pattern_stripes_4_tertiary
gene_dragon_body_shading,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1858,dragon_body_shading_lower_black | dragon_body_shading_lower_white | dragon_body_shading_lower_secondary | dragon_body_shading_lower_tertiary | dragon_body_shading_upper_black | dragon_body_shading_upper_white | dragon_body_shading_upper_secondary | dragon_body_shading_upper_tertiary | dragon_body_shading_front_black | dragon_body_shading_front_white | dragon_body_shading_front_secondary | dragon_body_shading_front_tertiary | dragon_body_shading_back_black | dragon_body_shading_back_white | dragon_body_shading_back_secondary | dragon_body_shading_back_tertiary
gene_dragon_brow_width,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,944,dragon_brow_width
gene_dragon_center_fin_size,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1489,dragon_center_fin_size
gene_dragon_cheek_width,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,961,dragon_cheek_width
gene_dragon_chin_profile,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,991,dragon_chin_profile
gene_dragon_crest_depth,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1008,dragon_crest_depth
gene_dragon_eye_color_hue,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,610,dragon_eye_color_hue
gene_dragon_eye_color_saturation,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,799,dragon_eye_color_saturation
gene_dragon_eye_color_value,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,637,dragon_eye_color_value
gene_dragon_fire_color,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,853,gene_dragon_fire_color_automatic | gene_dragon_fire_color_custom
gene_dragon_fire_smoke,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,898,gene_dragon_fire_smoke_automatic | gene_dragon_fire_smoke_custom
gene_dragon_head_roundness,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1025,dragon_head_roundness
gene_dragon_horn_color_hue,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,664,dragon_horn_color_hue
gene_dragon_horn_color_saturation,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,826,dragon_horn_color_saturation
gene_dragon_horn_color_value,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,691,dragon_horn_color_value
gene_dragon_horns_eyebrow,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1519,dragon_horns_eyebrow
gene_dragon_horns_eyebrow_length,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1042,dragon_horns_eyebrow_length
gene_dragon_jaw_width,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1237,dragon_jaw_width
gene_dragon_lower_jaw_height,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1267,dragon_lower_jaw_height
gene_dragon_lower_jaw_width,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1297,dragon_lower_jaw_width
gene_dragon_main_horn_shape,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1059,dragon_horns_drogon | dragon_horns_meleys | dragon_horns_balerion | dragon_horns_cannibal | dragon_horns_curvy | dragon_horns_dreamfyre | dragon_horns_grey_ghost | dragon_horns_long | dragon_horns_meraxes | dragon_horns_silverwing
gene_dragon_metallic_scales_strength,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1677,dragon_scales_default | dragon_scales_metallic
gene_dragon_neck_length,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1613,dragon_neck_length | dragon_neck_length_camera_zoom
gene_dragon_neck_spike_size,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1536,dragon_neck_spike_size
gene_dragon_old_neck,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1314,dragon_old_neck
gene_dragon_outer_brow_height,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1331,dragon_outer_brow_height
gene_dragon_primary_color_hue,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,448,dragon_primary_color_hue
gene_dragon_primary_color_saturation,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,718,dragon_primary_color_saturation
gene_dragon_primary_color_value,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,475,dragon_primary_color_value
gene_dragon_saddle,accessory_genes,A Game of Thrones,common/genes/dragon_accessory_genes.txt,51,no_saddle | saddle
gene_dragon_scale_highlights,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1749,dragon_scale_highlights_default | dragon_scale_highlights
gene_dragon_scale_shadows,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1713,dragon_scale_shadows_default | dragon_scale_shadows
gene_dragon_secondary_hue,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,502,dragon_secondary_hue
gene_dragon_secondary_saturation,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,745,dragon_secondary_saturation
gene_dragon_secondary_value,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,529,dragon_secondary_value
gene_dragon_shadow,accessory_genes,A Game of Thrones,common/genes/dragon_accessory_genes.txt,27,no_shadow | dragon_shadow
gene_dragon_side_fin_size,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1553,dragon_side_fin_size
gene_dragon_size,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,156,non_dragon_size | dragon_size | dragon_size_portrait_camera | dragon_size_fixed_frame_zoom
gene_dragon_snout_end_width,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1583,dragon_snout_end_width
gene_dragon_snout_height,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1348,dragon_snout_height
gene_dragon_snout_length,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1378,dragon_snout_length
gene_dragon_snout_profile,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1408,dragon_snout_profile
gene_dragon_snout_width,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1438,dragon_snout_width
gene_dragon_tail_length,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1661,dragon_tail_length
gene_dragon_tertiary_hue,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,556,dragon_tertiary_hue
gene_dragon_tertiary_saturation,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,772,dragon_tertiary_saturation
gene_dragon_tertiary_value,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,583,dragon_tertiary_value
gene_dragon_upper_jaw_width,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1455,dragon_upper_jaw_width
gene_dragon_wings_shading,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,2631,dragon_wings_shading_back_black | dragon_wings_shading_back_white | dragon_wings_shading_back_secondary | dragon_wings_shading_back_tertiary | dragon_wings_shading_front_black | dragon_wings_shading_front_white | dragon_wings_shading_front_secondary | dragon_wings_shading_front_tertiary | dragon_wings_shading_outside_black | dragon_wings_shading_outside_white | dragon_wings_shading_outside_secondary | dragon_wings_shading_outside_tertiary | dragon_wings_shading_inside_black | dragon_wings_shading_inside_white | dragon_wings_shading_inside_secondary | dragon_wings_shading_inside_tertiary | dragon_wings_shading_full_black | dragon_wings_shading_full_white | dragon_wings_shading_full_secondary | dragon_wings_shading_full_tertiary
gene_dragon_wounded,morph_genes,A Game of Thrones,common/genes/dragon_morph_genes.txt,1785,dragon_wounded | dragon_scarred
gene_drunkard,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,77,drunkard
gene_ear_stretch,morph_genes,CK3,common/genes/10_genes_special_misc.txt,267,ear_stretch
gene_enclosed_helmet,morph_genes,CK3,common/genes/10_genes_special_misc.txt,166,enclosed_helmet
gene_eye_angle,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,485,eye_angle_neg | eye_angle_pos
gene_eye_depth,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,521,eye_depth_neg | eye_depth_pos
gene_eye_distance,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,593,eye_distance_neg | eye_distance_pos
gene_eye_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,557,eye_height_neg | eye_height_pos
gene_eye_shut,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,629,eye_shut_neg | eye_shut_pos
gene_eyebrow_inner_width,morph_genes,A Game of Thrones,common/genes/epe_genes_morph.txt,1276,vanilla_eyebrow_inner_width | eyebrow_inner_width_max | eyebrow_inner_width_min
gene_eyebrows_fullness,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,17356,layer_2_avg_thickness | layer_2_high_thickness | layer_2_low_thickness | layer_2_lower_thickness
gene_eyebrows_shape,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,16687,avg_spacing_avg_thickness | avg_spacing_high_thickness | avg_spacing_low_thickness | avg_spacing_lower_thickness | far_spacing_avg_thickness | far_spacing_high_thickness | far_spacing_low_thickness | far_spacing_lower_thickness | close_spacing_avg_thickness | close_spacing_high_thickness | close_spacing_low_thickness | close_spacing_lower_thickness
gene_face_dacals,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,18641,no_face_dacal | face_dacal_01 | face_dacal_02 | face_dacal_03 | face_dacal_04 | face_dacal_05 | face_dacal_06 | face_dacal_07 | face_dacal_08 | face_dacal_09 | face_dacal_10
gene_forehead_angle,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,664,forehead_angle_neg | forehead_angle_pos
gene_forehead_brow_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,719,forehead_brow_height_neg | forehead_brow_height_pos
gene_forehead_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,867,forehead_height_neg | forehead_height_pos
gene_forehead_roundness,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,795,forehead_roundness_neg | forehead_roundness_pos
gene_forehead_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,831,forehead_width_neg | forehead_width_pos
gene_great_pox,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,114,great_pox
gene_hair_disease,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,390,hair_disease
gene_hair_type,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,18423,hair_straight | hair_wavy | hair_curly | hair_afro | hair_straight_thin_beard | agot_hair_brindled_men
gene_head_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,924,head_height_neg | head_height_pos
gene_head_profile,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1016,head_profile_neg | head_profile_pos
gene_head_top_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1132,head_top_height_neg | head_top_height_pos
gene_head_top_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1168,head_top_width_neg | head_top_width_pos
gene_head_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,960,head_width_neg | head_width_pos
gene_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,11798,full_height | normal_height | dwarf_height | giant_height
gene_hunchbacked,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,1115,hunchbacked
gene_illness,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,358,illness
gene_jaw_angle,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1204,jaw_angle_neg | jaw_angle_pos
gene_jaw_forward,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1320,jaw_forward_neg | jaw_forward_pos
gene_jaw_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1377,jaw_height_neg | jaw_height_pos
gene_jaw_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1493,jaw_width_neg | jaw_width_pos
gene_leprosy,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,436,leprosy
gene_lovers_pox,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,488,lovers_pox
gene_maimed_left_arm,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,1058,maimed_left_arm
gene_makeup,morph_genes,CK3,common/genes/09_genes_special_makeup.txt,5,chinese_01 | chinese_02 | japanese_01 | malay_01 | ainu_01 | ainu_02
gene_measles,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,212,measles
gene_mouth_corner_depth,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1549,mouth_corner_depth_neg | mouth_corner_depth_pos
gene_mouth_corner_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1585,mouth_corner_height_neg | mouth_corner_height_pos
gene_mouth_forward,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1621,mouth_forward_neg | mouth_forward_pos
gene_mouth_height,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1677,mouth_height_neg | mouth_height_pos
gene_mouth_lower_lip_size,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1954,mouth_lower_lip_size_neg | mouth_lower_lip_size_pos
gene_mouth_open,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1980,mouth_open_neg | mouth_open_pos
gene_mouth_upper_lip_size,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1919,mouth_upper_lip_size_neg | mouth_upper_lip_size_pos
gene_mouth_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,1803,mouth_width_neg | mouth_width_pos
gene_neck_length,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2016,neck_length_neg | neck_length_pos
gene_neck_width,morph_genes,A Game of Thrones,common/genes/01_genes_morph.txt,2052,neck_width_neg | neck_width_pos
gene_no_decal,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,1073,no_decal
gene_no_portrait,morph_genes,A Game of Thrones,common/genes/hide_body_gene.txt,2,normal_portrait | no_portrait
gene_one_legged,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,1101,no_left_leg
gene_retargeting_fix,morph_genes,CK3,common/genes/10_genes_special_misc.txt,236,female_prop
gene_scaly,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,522,scaly
gene_scars_battle,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,580,scars_battle
gene_scars_battle_2,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,615,scars_battle_2
gene_scars_battle_3,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,650,scars_battle_3
gene_scars_disease,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,685,scars_disease
gene_scars_eye,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,1169,scars_eye
gene_seated,morph_genes,CK3,common/genes/10_genes_special_misc.txt,100,seated
gene_seven_pointed_scar,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,1225,seven_pointed_scar
gene_shrink_agot,morph_genes,A Game of Thrones,common/genes/epe_special_genes_morph.txt,89,shrink_bodice
gene_shrink_body,morph_genes,CK3,common/genes/10_genes_special_misc.txt,112,shrink_all
gene_smallpox,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,720,smallpox_01
gene_spindly,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,1086,spindly
gene_tuberculosis,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,871,tuberculosis
gene_typhus,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,906,typhus
gene_wounded,morph_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,958,wounded_1 | wounded_2 | wounded_3
hair_aging,morph_genes,A Game of Thrones,common/genes/salt_n_pepper.txt,23,vanilla_hair_aging | late_hair_aging | no_hair_aging
hair_color,color_genes,A Game of Thrones,common/genes/00_genes_color.txt,2,
hairstyles,accessory_genes,A Game of Thrones,common/genes/03_genes_special_accessories_hairstyles.txt,15,all_hairstyles | legacy_dna_hairstyles | no_hairstyles | western_hairstyles_straight | western_hairstyles_wavy | western_hairstyles_curly | western_hairstyles_afro | mena_hairstyles_straight | mena_hairstyles_wavy | mena_hairstyles_curly | mena_hairstyles_afro | byzantine_hairstyles_straight | byzantine_hairstyles_wavy | byzantine_hairstyles_curly | byzantine_hairstyles_afro | sub_saharan_hairstyles_straight | sub_saharan_hairstyles_wavy | sub_saharan_hairstyles_curly | sub_saharan_hairstyles_afro | indian_hairstyles_straight | indian_hairstyles_wavy | indian_hairstyles_curly | indian_hairstyles_afro | northern_hairstyles_straight | northern_hairstyles_wavy | northern_hairstyles_curly | northern_hairstyles_afro | steppe_hairstyles_straight | steppe_hairstyles_wavy | steppe_hairstyles_curly | steppe_hairstyles_afro | catholic_devoted_hairstyles | western_baby_hairstyles | sub_saharan_baby_hairstyles | rtt_hairstyles | fp1_hairstyles_straight | fp1_hairstyles_wavy | fp2_hairstyles_iberian_muslim_straight | fp2_hairstyles_iberian_muslim_wavy | fp2_hairstyles_iberian_muslim_curly | fp2_hairstyles_iberian_christian_straight | fp2_hairstyles_iberian_christian_wavy | fp2_hairstyles_iberian_christian_curly | fp2_hairstyles_iberian_muslim_straight_common | fp2_hairstyles_iberian_muslim_wavy_common | fp2_hairstyles_iberian_muslim_curly_common | fp3_hairstyles_iranian_straight | fp3_hairstyles_iranian_wavy | fp3_hairstyles_iranian_straight_common | fp3_hairstyles_iranian_wavy_common | fp3_hairstyles_turkic_straight | fp3_hairstyles_turkic_wavy | fp3_hairstyles_turkic_straight_common | fp3_hairstyles_turkic_wavy_common | ep2_hairstyles_western | ep2_hairstyles_western_common | sp3_hairstyles | fp4_bald_hairstyles | scripted_character_hairstyles_01 | scripted_character_hairstyles_02 | special_hairstyles | scripted_character_hairstyles_03 | scripted_character_hairstyles_04 | scripted_character_hairstyles_05 | ep3_byzantine_hairstyle | ep3_byzantine_hairstyles_wavy | ep3_byzantine_hairstyles_curly | ep3_byzantine_hairstyles_straight | ep3_byzantine_hairstyles_wavy_common | ep3_byzantine_hairstyles_curly_common | ep3_byzantine_hairstyles_straight_common | sp4_western_hairstyles | sp4_mena_hairstyles | mpo_mongol_hairstyles | tgp_chinese_hairstyles | tgp_japanese_hairstyles | tgp_japanese_high_nobility_hairstyles | tgp_japanese_royal_hairstyles | tgp_japanese_children_hairstyles | tgp_southeast_hairstyles | tgp_ainu_hairstyles | cp7_emishi_ainu_hairstyles_straight_wavy | cp7_emishi_ainu_hairstyles_curly_afro | ccp9_uighur_hairstyles | sp5_hairstyles | agot_special_scripted_hairstyles | agot_all_hairstyles | agot_dlc_hairstyles_ep3 | agot_brindled_men_hairstyles | agot_ibbenese_main_hairstyles
