"Count","Line","Category","Message"
"3","13550","Script / database error","Error: ""Failed to read key reference: 1453_end_date: 1453_end_date, near line: 221
Failed to read key reference: rhomaion_name_of_byzantium: rhomaion_name_of_byzantium, near line: 221
Failed to read key reference: default_mongol_invasion: default_mongol_invasion, near line: 221
Failed to read key reference: random_ruler_placement_off: random_ruler_placement_off, near line: 221
Failed to read key reference: launch_historical: launch_historical, near line: 221
Failed to read key reference: fp1_scandi_adventurers_apocalyptic: fp1_scandi_adventurers_apocalyptic, near line: 221
Failed to read key reference: dissolution_after_caliph_death: dissolution_after_caliph_death, near line: 221
Failed to read key reference: default_seljuk_invasion: default_seljuk_invasion, near line: 221
Failed to read key reference: situation_the_great_steppe_toggle_on: situation_the_great_steppe_toggle_on, near line: 221
Failed to read key reference: struggle_iberia_toggle_on: struggle_iberia_toggle_on, near line: 221
Failed to read key reference: struggle_persia_toggle_on: struggle_persia_toggle_on, near line: 221
Failed to read key reference: historicity_ruler_of_munster_historical_toirdelbach: historicity_ruler_of_munster_historical_toirdelbach, near line: 221
Failed to read key reference: historicity_norman_conquest_default_random: historicity_norman_conquest_default_random, near line: 221
Failed to read key reference: tibet_nomad_region_on: tibet_nomad_region_on, near line: 221
Failed to read key reference: sami_nomad_region_on: sami_nomad_region_on, near line: 221
Failed to read key reference: arabia_nomad_region_on: arabia_nomad_region_on, near line: 221
Failed to read key reference: sahel_nomad_region_on: sahel_nomad_region_on, near line: 221
Failed to read key reference: horn_of_africa_nomad_region_on: horn_of_africa_nomad_region_on, near line: 221
Failed to read key reference: historicity_extra_admin_egypt_gameplay_not_administrative: historicity_extra_admin_egypt_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_arabia_gameplay_not_administrative: historicity_extra_admin_arabia_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_ghana_gameplay_not_administrative: historicity_extra_admin_ghana_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_kabulistan_gameplay_not_administrative: historicity_extra_admin_kabulistan_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_persia_gameplay_not_administrative: historicity_extra_admin_persia_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_maghreb_gameplay_not_administrative: historicity_extra_admin_maghreb_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_tamilakam_gameplay_not_administrative: historicity_extra_admin_tamilakam_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_carolingians_gameplay_not_administrative: historicity_extra_admin_carolingians_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_extra_admin_player_wherever_gameplay_not_administrative: historicity_extra_admin_player_wherever_gameplay_not_administrative, near line: 221
Failed to read key reference: historicity_frankokratia_fourth_crusade: historicity_frankokratia_fourth_crusade, near line: 221
Failed to read key reference: silk_road_starting_innovations_preset: silk_road_starting_innovations_preset, near line: 221
Failed to read key reference: ACR_RE_tradition_slots_plus_95: ACR_RE_tradition_slots_plus_95, near line: 221
Failed to read key reference: ACR_RE_tradition_cost_free: ACR_RE_tradition_cost_free, near line: 221
Failed to read key reference: ACR_RE_tradition_cooldown_none: ACR_RE_tradition_cooldown_none, near line: 221
Failed to read key reference: ACR_RE_truce_duration_5: ACR_RE_truce_duration_5, near line: 221
Failed to read key reference: ACR_RE_truce_scope_player_primary: ACR_RE_truce_scope_player_primary, near line: 221
Failed to read key reference: ACR_RE_council_task_speed_1_month: ACR_RE_council_task_speed_1_month, near line: 221
Failed to read key reference: HM_RE_rule_player_free_functions_enabled: HM_RE_rule_player_free_functions_enabled, near line: 221
Failed to read key reference: HM_RE_rule_change_holding_type_cost_very_cheap: HM_RE_rule_change_holding_type_cost_very_cheap, near line: 221
Failed to read key reference: HM_RE_rule_change_holding_type_cooldown_very_short: HM_RE_rule_change_holding_type_cooldown_very_short, near line: 221
Failed to read key reference: HM_RE_rule_can_replace_buildings_vassals: HM_RE_rule_can_replace_buildings_vassals, near line: 221
Failed to read key reference: HM_RE_rule_can_feudalize_holdings_vassals: HM_RE_rule_can_feudalize_holdings_vassals, near line: 221
Failed to read key reference: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap, near line: 221
Failed to read key reference: HM_RE_rule_player_extra_slots_enabled: HM_RE_rule_player_extra_slots_enabled, near line: 221
Failed to read key reference: HM_RE_rule_player_slot_base_cost_very_cheap: HM_RE_rule_player_slot_base_cost_very_cheap, near line: 221
Failed to read key reference: HM_RE_rule_player_slot_step_cost_very_cheap: HM_RE_rule_player_slot_step_cost_very_cheap, near line: 221
Failed to read key reference: HM_RE_rule_construction_time_cost_free: HM_RE_rule_construction_time_cost_free, near line: 221
Failed to read key reference: HM_RE_build_all_button_on: HM_RE_build_all_button_on, near line: 221
Failed to read key reference: HM_RE_upgrade_all_button_on: HM_RE_upgrade_all_button_on, near line: 221
Failed to read key reference: HM_RE_make_nomad_button_on: HM_RE_make_nomad_button_on, near line: 221
Failed to read key reference: HM_RE_make_temple_citadel_button_on: HM_RE_make_temple_citadel_button_on, near line: 221
Failed to read key reference: HM_RE_player_add_slots_decision_on: HM_RE_player_add_slots_decision_on, near line: 221
Failed to read key reference: HM_RE_player_add_slots_decision_base_cost_very_cheap: HM_RE_player_add_slots_decision_base_cost_very_cheap, near line: 221
Failed to read key reference: HM_RE_player_cost_gold: HM_RE_player_cost_gold, near line: 221
Failed to read key reference: HM_RE_rule_ai_extra_slots_disabled: HM_RE_rule_ai_extra_slots_disabled, near line: 221
Failed to read key reference: HM_RE_rule_ai_slot_base_cost_very_expensive: HM_RE_rule_ai_slot_base_cost_very_expensive, near line: 221
Failed to read key reference: HM_RE_rule_ai_slot_step_cost_very_expensive: HM_RE_rule_ai_slot_step_cost_very_expensive, near line: 221"" in file: ""save games/Отряд Собран.ck3"" near line: 221"
"1","1210","Localization / dynamic text error","Unlocalized text 'testbutton' at gui/DI_artifact_creator.gui:267, either localize it or use the raw_text property instead of text"
"1","1212","Localization / dynamic text error","Unlocalized text 'building_type_special_the_wall_damaged' at gui/DI_title_manager_templates/DI_title_manager_building_list_template.gui:10545, either localize it or use the raw_text property instead of text"
"3","12666","Script / database error","Error: ""Failed to read key reference: 1453_end_date: 1453_end_date, near line: 599
Failed to read key reference: rhomaion_name_of_byzantium: rhomaion_name_of_byzantium, near line: 599
Failed to read key reference: default_mongol_invasion: default_mongol_invasion, near line: 599
Failed to read key reference: random_ruler_placement_off: random_ruler_placement_off, near line: 599
Failed to read key reference: launch_historical: launch_historical, near line: 599
Failed to read key reference: fp1_scandi_adventurers_apocalyptic: fp1_scandi_adventurers_apocalyptic, near line: 599
Failed to read key reference: dissolution_after_caliph_death: dissolution_after_caliph_death, near line: 599
Failed to read key reference: default_seljuk_invasion: default_seljuk_invasion, near line: 599
Failed to read key reference: situation_the_great_steppe_toggle_on: situation_the_great_steppe_toggle_on, near line: 599
Failed to read key reference: struggle_iberia_toggle_on: struggle_iberia_toggle_on, near line: 599
Failed to read key reference: struggle_persia_toggle_on: struggle_persia_toggle_on, near line: 599
Failed to read key reference: historicity_ruler_of_munster_historical_toirdelbach: historicity_ruler_of_munster_historical_toirdelbach, near line: 599
Failed to read key reference: historicity_norman_conquest_default_random: historicity_norman_conquest_default_random, near line: 599
Failed to read key reference: tibet_nomad_region_on: tibet_nomad_region_on, near line: 599
Failed to read key reference: sami_nomad_region_on: sami_nomad_region_on, near line: 599
Failed to read key reference: arabia_nomad_region_on: arabia_nomad_region_on, near line: 599
Failed to read key reference: sahel_nomad_region_on: sahel_nomad_region_on, near line: 599
Failed to read key reference: horn_of_africa_nomad_region_on: horn_of_africa_nomad_region_on, near line: 599
Failed to read key reference: historicity_extra_admin_egypt_gameplay_not_administrative: historicity_extra_admin_egypt_gameplay_not_administrative, near line: 599
Failed to read key reference: historicity_extra_admin_arabia_gameplay_not_administrative: historicity_extra_admin_arabia_gameplay_not_administrative, near line: 599
Failed to read key reference: historicity_extra_admin_ghana_gameplay_not_administrative: historicity_extra_admin_ghana_gameplay_not_administrative, near line: 599
Failed to read key reference: historicity_extra_admin_kabulistan_gameplay_not_administrative: historicity_extra_admin_kabulistan_gameplay_not_administrative, near line: 599
Failed to read key reference: historicity_extra_admin_persia_gameplay_not_administrative: historicity_extra_admin_persia_gameplay_not_administrative, near line: 599
Failed to read key reference: historicity_extra_admin_maghreb_gameplay_not_administrative: historicity_extra_admin_maghreb_gameplay_not_administrative, near line: 599
Failed to read key reference: historicity_extra_admin_tamilakam_gameplay_not_administrative: historicity_extra_admin_tamilakam_gameplay_not_administrative, near line: 599
Failed to read key reference: historicity_extra_admin_carolingians_gameplay_not_administrative: historicity_extra_admin_carolingians_gameplay_not_administrative, near line: 599
Failed to read key reference: historicity_extra_admin_player_wherever_gameplay_not_administrative: historicity_extra_admin_player_wherever_gameplay_not_administrative, near line: 599
Failed to read key reference: historicity_frankokratia_fourth_crusade: historicity_frankokratia_fourth_crusade, near line: 599
Failed to read key reference: silk_road_starting_innovations_preset: silk_road_starting_innovations_preset, near line: 599
Failed to read key reference: ACR_RE_tradition_slots_plus_95: ACR_RE_tradition_slots_plus_95, near line: 599
Failed to read key reference: ACR_RE_tradition_cost_free: ACR_RE_tradition_cost_free, near line: 599
Failed to read key reference: ACR_RE_tradition_cooldown_none: ACR_RE_tradition_cooldown_none, near line: 599
Failed to read key reference: ACR_RE_truce_duration_5: ACR_RE_truce_duration_5, near line: 599
Failed to read key reference: ACR_RE_truce_scope_player_primary: ACR_RE_truce_scope_player_primary, near line: 599
Failed to read key reference: ACR_RE_council_task_speed_1_month: ACR_RE_council_task_speed_1_month, near line: 599
Failed to read key reference: HM_RE_rule_player_free_functions_enabled: HM_RE_rule_player_free_functions_enabled, near line: 599
Failed to read key reference: HM_RE_rule_change_holding_type_cost_very_cheap: HM_RE_rule_change_holding_type_cost_very_cheap, near line: 599
Failed to read key reference: HM_RE_rule_change_holding_type_cooldown_very_short: HM_RE_rule_change_holding_type_cooldown_very_short, near line: 599
Failed to read key reference: HM_RE_rule_can_replace_buildings_vassals: HM_RE_rule_can_replace_buildings_vassals, near line: 599
Failed to read key reference: HM_RE_rule_can_feudalize_holdings_vassals: HM_RE_rule_can_feudalize_holdings_vassals, near line: 599
Failed to read key reference: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap, near line: 599
Failed to read key reference: HM_RE_rule_player_extra_slots_enabled: HM_RE_rule_player_extra_slots_enabled, near line: 599
Failed to read key reference: HM_RE_rule_player_slot_base_cost_very_cheap: HM_RE_rule_player_slot_base_cost_very_cheap, near line: 599
Failed to read key reference: HM_RE_rule_player_slot_step_cost_very_cheap: HM_RE_rule_player_slot_step_cost_very_cheap, near line: 599
Failed to read key reference: HM_RE_rule_construction_time_cost_free: HM_RE_rule_construction_time_cost_free, near line: 599
Failed to read key reference: HM_RE_build_all_button_on: HM_RE_build_all_button_on, near line: 599
Failed to read key reference: HM_RE_upgrade_all_button_on: HM_RE_upgrade_all_button_on, near line: 599
Failed to read key reference: HM_RE_make_nomad_button_on: HM_RE_make_nomad_button_on, near line: 599
Failed to read key reference: HM_RE_make_temple_citadel_button_on: HM_RE_make_temple_citadel_button_on, near line: 599
Failed to read key reference: HM_RE_player_add_slots_decision_on: HM_RE_player_add_slots_decision_on, near line: 599
Failed to read key reference: HM_RE_player_add_slots_decision_base_cost_very_cheap: HM_RE_player_add_slots_decision_base_cost_very_cheap, near line: 599
Failed to read key reference: HM_RE_player_cost_gold: HM_RE_player_cost_gold, near line: 599
Failed to read key reference: HM_RE_rule_ai_extra_slots_disabled: HM_RE_rule_ai_extra_slots_disabled, near line: 599
Failed to read key reference: HM_RE_rule_ai_slot_base_cost_very_expensive: HM_RE_rule_ai_slot_base_cost_very_expensive, near line: 599
Failed to read key reference: HM_RE_rule_ai_slot_step_cost_very_expensive: HM_RE_rule_ai_slot_step_cost_very_expensive, near line: 599"" in file: ""save games/Империя_Будущего.ck3"" near line: 599"
"3","12058","Script / database error","Error: ""Failed to read key reference: 1453_end_date: 1453_end_date, near line: 511
Failed to read key reference: rhomaion_name_of_byzantium: rhomaion_name_of_byzantium, near line: 511
Failed to read key reference: default_mongol_invasion: default_mongol_invasion, near line: 511
Failed to read key reference: random_ruler_placement_off: random_ruler_placement_off, near line: 511
Failed to read key reference: launch_historical: launch_historical, near line: 511
Failed to read key reference: fp1_scandi_adventurers_apocalyptic: fp1_scandi_adventurers_apocalyptic, near line: 511
Failed to read key reference: dissolution_after_caliph_death: dissolution_after_caliph_death, near line: 511
Failed to read key reference: default_seljuk_invasion: default_seljuk_invasion, near line: 511
Failed to read key reference: situation_the_great_steppe_toggle_on: situation_the_great_steppe_toggle_on, near line: 511
Failed to read key reference: struggle_iberia_toggle_on: struggle_iberia_toggle_on, near line: 511
Failed to read key reference: struggle_persia_toggle_on: struggle_persia_toggle_on, near line: 511
Failed to read key reference: historicity_ruler_of_munster_historical_toirdelbach: historicity_ruler_of_munster_historical_toirdelbach, near line: 511
Failed to read key reference: historicity_norman_conquest_default_random: historicity_norman_conquest_default_random, near line: 511
Failed to read key reference: tibet_nomad_region_on: tibet_nomad_region_on, near line: 511
Failed to read key reference: sami_nomad_region_on: sami_nomad_region_on, near line: 511
Failed to read key reference: arabia_nomad_region_on: arabia_nomad_region_on, near line: 511
Failed to read key reference: sahel_nomad_region_on: sahel_nomad_region_on, near line: 511
Failed to read key reference: horn_of_africa_nomad_region_on: horn_of_africa_nomad_region_on, near line: 511
Failed to read key reference: historicity_extra_admin_egypt_gameplay_not_administrative: historicity_extra_admin_egypt_gameplay_not_administrative, near line: 511
Failed to read key reference: historicity_extra_admin_arabia_gameplay_not_administrative: historicity_extra_admin_arabia_gameplay_not_administrative, near line: 511
Failed to read key reference: historicity_extra_admin_ghana_gameplay_not_administrative: historicity_extra_admin_ghana_gameplay_not_administrative, near line: 511
Failed to read key reference: historicity_extra_admin_kabulistan_gameplay_not_administrative: historicity_extra_admin_kabulistan_gameplay_not_administrative, near line: 511
Failed to read key reference: historicity_extra_admin_persia_gameplay_not_administrative: historicity_extra_admin_persia_gameplay_not_administrative, near line: 511
Failed to read key reference: historicity_extra_admin_maghreb_gameplay_not_administrative: historicity_extra_admin_maghreb_gameplay_not_administrative, near line: 511
Failed to read key reference: historicity_extra_admin_tamilakam_gameplay_not_administrative: historicity_extra_admin_tamilakam_gameplay_not_administrative, near line: 511
Failed to read key reference: historicity_extra_admin_carolingians_gameplay_not_administrative: historicity_extra_admin_carolingians_gameplay_not_administrative, near line: 511
Failed to read key reference: historicity_extra_admin_player_wherever_gameplay_not_administrative: historicity_extra_admin_player_wherever_gameplay_not_administrative, near line: 511
Failed to read key reference: historicity_frankokratia_fourth_crusade: historicity_frankokratia_fourth_crusade, near line: 511
Failed to read key reference: silk_road_starting_innovations_preset: silk_road_starting_innovations_preset, near line: 511
Failed to read key reference: ACR_RE_tradition_slots_plus_95: ACR_RE_tradition_slots_plus_95, near line: 511
Failed to read key reference: ACR_RE_tradition_cost_free: ACR_RE_tradition_cost_free, near line: 511
Failed to read key reference: ACR_RE_tradition_cooldown_none: ACR_RE_tradition_cooldown_none, near line: 511
Failed to read key reference: ACR_RE_truce_duration_5: ACR_RE_truce_duration_5, near line: 511
Failed to read key reference: ACR_RE_truce_scope_player_primary: ACR_RE_truce_scope_player_primary, near line: 511
Failed to read key reference: ACR_RE_council_task_speed_1_month: ACR_RE_council_task_speed_1_month, near line: 511
Failed to read key reference: HM_RE_rule_player_free_functions_enabled: HM_RE_rule_player_free_functions_enabled, near line: 511
Failed to read key reference: HM_RE_rule_change_holding_type_cost_very_cheap: HM_RE_rule_change_holding_type_cost_very_cheap, near line: 511
Failed to read key reference: HM_RE_rule_change_holding_type_cooldown_very_short: HM_RE_rule_change_holding_type_cooldown_very_short, near line: 511
Failed to read key reference: HM_RE_rule_can_replace_buildings_vassals: HM_RE_rule_can_replace_buildings_vassals, near line: 511
Failed to read key reference: HM_RE_rule_can_feudalize_holdings_vassals: HM_RE_rule_can_feudalize_holdings_vassals, near line: 511
Failed to read key reference: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap, near line: 511
Failed to read key reference: HM_RE_rule_player_extra_slots_enabled: HM_RE_rule_player_extra_slots_enabled, near line: 511
Failed to read key reference: HM_RE_rule_player_slot_base_cost_very_cheap: HM_RE_rule_player_slot_base_cost_very_cheap, near line: 511
Failed to read key reference: HM_RE_rule_player_slot_step_cost_very_cheap: HM_RE_rule_player_slot_step_cost_very_cheap, near line: 511
Failed to read key reference: HM_RE_rule_construction_time_cost_free: HM_RE_rule_construction_time_cost_free, near line: 511
Failed to read key reference: HM_RE_build_all_button_on: HM_RE_build_all_button_on, near line: 511
Failed to read key reference: HM_RE_upgrade_all_button_on: HM_RE_upgrade_all_button_on, near line: 511
Failed to read key reference: HM_RE_make_nomad_button_on: HM_RE_make_nomad_button_on, near line: 511
Failed to read key reference: HM_RE_make_temple_citadel_button_on: HM_RE_make_temple_citadel_button_on, near line: 511
Failed to read key reference: HM_RE_player_add_slots_decision_on: HM_RE_player_add_slots_decision_on, near line: 511
Failed to read key reference: HM_RE_player_add_slots_decision_base_cost_very_cheap: HM_RE_player_add_slots_decision_base_cost_very_cheap, near line: 511
Failed to read key reference: HM_RE_player_cost_gold: HM_RE_player_cost_gold, near line: 511
Failed to read key reference: HM_RE_rule_ai_extra_slots_disabled: HM_RE_rule_ai_extra_slots_disabled, near line: 511
Failed to read key reference: HM_RE_rule_ai_slot_base_cost_very_expensive: HM_RE_rule_ai_slot_base_cost_very_expensive, near line: 511
Failed to read key reference: HM_RE_rule_ai_slot_step_cost_very_expensive: HM_RE_rule_ai_slot_step_cost_very_expensive, near line: 511"" in file: ""save games/Завоевание.ck3"" near line: 511"
"1","9823","Localization / dynamic text error","Unrecognized loc key pen_guards. file: common/scripted_guis/DI_army_spawner_maa_sgui.txt line: 7017 (DI_pen_guards_effect:effect)"
"1","9819","Localization / dynamic text error","Unrecognized loc key brindled_warriors. file: common/scripted_guis/DI_army_spawner_maa_sgui.txt line: 6927 (DI_brindled_warriors_effect:effect)"
"1","1214","Localization / dynamic text error","Unlocalized text 'building_type_special_the_wall_broken_middle_graphical' at gui/DI_title_manager_templates/DI_title_manager_building_list_template.gui:10585, either localize it or use the raw_text property instead of text"
"1","1216","Localization / dynamic text error","Unlocalized text 'building_type_special_castle_black_damaged' at gui/DI_title_manager_templates/DI_title_manager_building_list_template.gui:10625, either localize it or use the raw_text property instead of text"
"1","9835","Localization / dynamic text error","Unrecognized loc key triarchs_herd. file: common/scripted_guis/DI_army_spawner_maa_sgui.txt line: 10887 (DI_triarchs_herd_effect:effect)"
"1","9806","Localization / dynamic text error","Missing loc key 'lmf_address_cousin' for custom localization 'direct_address_by_familiarity' (or variant), at 'file: common/customizable_localization/00_agot_lmf_custom_loc.txt line: 92 (direct_address_by_familiarity)'"
"1","1209","Localization / dynamic text error","Unlocalized text 'building_type_gfx_reset_building' at gui/DI_title_manager_templates/DI_title_manager_building_list_template.gui:1844, either localize it or use the raw_text property instead of text"
"3","14904","Script / database error","Error: ""Failed to read key reference: 1453_end_date: 1453_end_date, near line: 583
Failed to read key reference: rhomaion_name_of_byzantium: rhomaion_name_of_byzantium, near line: 583
Failed to read key reference: default_mongol_invasion: default_mongol_invasion, near line: 583
Failed to read key reference: random_ruler_placement_off: random_ruler_placement_off, near line: 583
Failed to read key reference: launch_historical: launch_historical, near line: 583
Failed to read key reference: fp1_scandi_adventurers_apocalyptic: fp1_scandi_adventurers_apocalyptic, near line: 583
Failed to read key reference: dissolution_after_caliph_death: dissolution_after_caliph_death, near line: 583
Failed to read key reference: default_seljuk_invasion: default_seljuk_invasion, near line: 583
Failed to read key reference: situation_the_great_steppe_toggle_on: situation_the_great_steppe_toggle_on, near line: 583
Failed to read key reference: struggle_iberia_toggle_on: struggle_iberia_toggle_on, near line: 583
Failed to read key reference: struggle_persia_toggle_on: struggle_persia_toggle_on, near line: 583
Failed to read key reference: historicity_ruler_of_munster_historical_toirdelbach: historicity_ruler_of_munster_historical_toirdelbach, near line: 583
Failed to read key reference: historicity_norman_conquest_default_random: historicity_norman_conquest_default_random, near line: 583
Failed to read key reference: tibet_nomad_region_on: tibet_nomad_region_on, near line: 583
Failed to read key reference: sami_nomad_region_on: sami_nomad_region_on, near line: 583
Failed to read key reference: arabia_nomad_region_on: arabia_nomad_region_on, near line: 583
Failed to read key reference: sahel_nomad_region_on: sahel_nomad_region_on, near line: 583
Failed to read key reference: horn_of_africa_nomad_region_on: horn_of_africa_nomad_region_on, near line: 583
Failed to read key reference: historicity_extra_admin_egypt_gameplay_not_administrative: historicity_extra_admin_egypt_gameplay_not_administrative, near line: 583
Failed to read key reference: historicity_extra_admin_arabia_gameplay_not_administrative: historicity_extra_admin_arabia_gameplay_not_administrative, near line: 583
Failed to read key reference: historicity_extra_admin_ghana_gameplay_not_administrative: historicity_extra_admin_ghana_gameplay_not_administrative, near line: 583
Failed to read key reference: historicity_extra_admin_kabulistan_gameplay_not_administrative: historicity_extra_admin_kabulistan_gameplay_not_administrative, near line: 583
Failed to read key reference: historicity_extra_admin_persia_gameplay_not_administrative: historicity_extra_admin_persia_gameplay_not_administrative, near line: 583
Failed to read key reference: historicity_extra_admin_maghreb_gameplay_not_administrative: historicity_extra_admin_maghreb_gameplay_not_administrative, near line: 583
Failed to read key reference: historicity_extra_admin_tamilakam_gameplay_not_administrative: historicity_extra_admin_tamilakam_gameplay_not_administrative, near line: 583
Failed to read key reference: historicity_extra_admin_carolingians_gameplay_not_administrative: historicity_extra_admin_carolingians_gameplay_not_administrative, near line: 583
Failed to read key reference: historicity_extra_admin_player_wherever_gameplay_not_administrative: historicity_extra_admin_player_wherever_gameplay_not_administrative, near line: 583
Failed to read key reference: historicity_frankokratia_fourth_crusade: historicity_frankokratia_fourth_crusade, near line: 583
Failed to read key reference: silk_road_starting_innovations_preset: silk_road_starting_innovations_preset, near line: 583
Failed to read key reference: ACR_RE_tradition_slots_plus_95: ACR_RE_tradition_slots_plus_95, near line: 583
Failed to read key reference: ACR_RE_tradition_cost_free: ACR_RE_tradition_cost_free, near line: 583
Failed to read key reference: ACR_RE_tradition_cooldown_none: ACR_RE_tradition_cooldown_none, near line: 583
Failed to read key reference: ACR_RE_truce_duration_5: ACR_RE_truce_duration_5, near line: 583
Failed to read key reference: ACR_RE_truce_scope_player_primary: ACR_RE_truce_scope_player_primary, near line: 583
Failed to read key reference: ACR_RE_council_task_speed_1_month: ACR_RE_council_task_speed_1_month, near line: 583
Failed to read key reference: HM_RE_rule_player_free_functions_enabled: HM_RE_rule_player_free_functions_enabled, near line: 583
Failed to read key reference: HM_RE_rule_change_holding_type_cost_very_cheap: HM_RE_rule_change_holding_type_cost_very_cheap, near line: 583
Failed to read key reference: HM_RE_rule_change_holding_type_cooldown_very_short: HM_RE_rule_change_holding_type_cooldown_very_short, near line: 583
Failed to read key reference: HM_RE_rule_can_replace_buildings_vassals: HM_RE_rule_can_replace_buildings_vassals, near line: 583
Failed to read key reference: HM_RE_rule_can_feudalize_holdings_vassals: HM_RE_rule_can_feudalize_holdings_vassals, near line: 583
Failed to read key reference: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap, near line: 583
Failed to read key reference: HM_RE_rule_player_extra_slots_enabled: HM_RE_rule_player_extra_slots_enabled, near line: 583
Failed to read key reference: HM_RE_rule_player_slot_base_cost_very_cheap: HM_RE_rule_player_slot_base_cost_very_cheap, near line: 583
Failed to read key reference: HM_RE_rule_player_slot_step_cost_very_cheap: HM_RE_rule_player_slot_step_cost_very_cheap, near line: 583
Failed to read key reference: HM_RE_rule_construction_time_cost_free: HM_RE_rule_construction_time_cost_free, near line: 583
Failed to read key reference: HM_RE_build_all_button_on: HM_RE_build_all_button_on, near line: 583
Failed to read key reference: HM_RE_upgrade_all_button_on: HM_RE_upgrade_all_button_on, near line: 583
Failed to read key reference: HM_RE_make_nomad_button_on: HM_RE_make_nomad_button_on, near line: 583
Failed to read key reference: HM_RE_make_temple_citadel_button_on: HM_RE_make_temple_citadel_button_on, near line: 583
Failed to read key reference: HM_RE_player_add_slots_decision_on: HM_RE_player_add_slots_decision_on, near line: 583
Failed to read key reference: HM_RE_player_add_slots_decision_base_cost_very_cheap: HM_RE_player_add_slots_decision_base_cost_very_cheap, near line: 583
Failed to read key reference: HM_RE_player_cost_gold: HM_RE_player_cost_gold, near line: 583
Failed to read key reference: HM_RE_rule_ai_extra_slots_disabled: HM_RE_rule_ai_extra_slots_disabled, near line: 583
Failed to read key reference: HM_RE_rule_ai_slot_base_cost_very_expensive: HM_RE_rule_ai_slot_base_cost_very_expensive, near line: 583
Failed to read key reference: HM_RE_rule_ai_slot_step_cost_very_expensive: HM_RE_rule_ai_slot_step_cost_very_expensive, near line: 583"" in file: ""save games/СтаБольшое строительство.ck3"" near line: 583"
"1","9824","Localization / dynamic text error","Unrecognized loc key collar_breakers. file: common/scripted_guis/DI_army_spawner_maa_sgui.txt line: 7140 (DI_collar_breakers_effect:effect)"
