"Key","Kind","File","Line","EnglishTokens","RussianTokens","English","Russian"
"asoiaf_mance_lord_commander_rival_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","80","[CHARACTER.GetFirstName|U] | [CHARACTER.GetHerselfHimself] | [TARGET_CHARACTER.GetFirstNamePossessive]","[CHARACTER.GetFirstName|U] | [CHARACTER.GetHerselfHimself] | [Select_CString(CHARACTER.IsFemale, 'дезертировала', 'дезертировал')] | [Select_CString(CHARACTER.IsFemale, 'королевой', 'королём')] | [Select_CString(CHARACTER.IsFemale, 'провозгласила', 'провозгласил')] | [TARGET_CHARACTER.GetFirstNamePossessive]","[CHARACTER.GetFirstName|U] deserted the Night's Watch and declared [CHARACTER.GetHerselfHimself] king, becoming an ever-present thorn in [TARGET_CHARACTER.GetFirstNamePossessive] side.","[CHARACTER.GetFirstName|U] [Select_CString(CHARACTER.IsFemale, 'дезертировала', 'дезертировал')] из Ночного Дозора и [Select_CString(CHARACTER.IsFemale, 'провозгласила', 'провозгласил')] [CHARACTER.GetHerselfHimself] [Select_CString(CHARACTER.IsFemale, 'королевой', 'королём')], став вечной занозой в боку [TARGET_CHARACTER.GetFirstNamePossessive]."
"asoiaf_mance_lord_commander_rival_desc_corresponding","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","81","[CHARACTER.GetFirstNamePossessive] | [TARGET_CHARACTER.GetFirstName|U] | [TARGET_CHARACTER.GetHerselfHimself]","[CHARACTER.GetFirstNamePossessive] | [Select_CString(TARGET_CHARACTER.IsFemale, 'дезертировала', 'дезертировал')] | [Select_CString(TARGET_CHARACTER.IsFemale, 'королевой', 'королём')] | [Select_CString(TARGET_CHARACTER.IsFemale, 'провозгласила', 'провозгласил')] | [TARGET_CHARACTER.GetFirstName|U] | [TARGET_CHARACTER.GetHerselfHimself]","[TARGET_CHARACTER.GetFirstName|U] deserted the Night's Watch and declared [TARGET_CHARACTER.GetHerselfHimself] king, becoming an ever-present thorn in [CHARACTER.GetFirstNamePossessive] side.","[TARGET_CHARACTER.GetFirstName|U] [Select_CString(TARGET_CHARACTER.IsFemale, 'дезертировала', 'дезертировал')] из Ночного Дозора и [Select_CString(TARGET_CHARACTER.IsFemale, 'провозгласила', 'провозгласил')] [TARGET_CHARACTER.GetHerselfHimself] [Select_CString(TARGET_CHARACTER.IsFemale, 'королевой', 'королём')], став вечной занозой в боку [CHARACTER.GetFirstNamePossessive]."
"asoiaf_reforge_ice_grudge_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","83","[CHARACTER.GetFirstName] | [CHARACTER.GetHerHis] | [TARGET_CHARACTER.GetFirstName]","[CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetFirstName]","[CHARACTER.GetFirstName] despises [TARGET_CHARACTER.GetFirstName] for melting down [CHARACTER.GetHerHis] family's ancestral Valyrian steel greatsword.","[CHARACTER.GetFirstName] ненавидит [TARGET_CHARACTER.GetFirstName] за переплавку фамильного валирийского меча из стали."
"asoiaf_istvan_robert_grudge_desc","Brackets","localization/russian/asoiaf_relationship_reasons_l_russian.yml","97","[CHARACTER.GetFirstName] | [CHARACTER.GetHerHis] | [TARGET_CHARACTER.GetFirstName]","[CHARACTER.GetFirstName] | [TARGET_CHARACTER.GetFirstName]","[CHARACTER.GetFirstName] blames [TARGET_CHARACTER.GetFirstName] for [CHARACTER.GetHerHis] parents' death during the Taking of Gulltown in 282 AC.","[CHARACTER.GetFirstName] винит [TARGET_CHARACTER.GetFirstName] в гибели своих родителей во время взятия Чаячьего города в 282 году от З.Э."
"asoiaf_maintenance_events_0001_b_desc","Brackets","localization/russian/event_localization/asoiaf_maintenance_l_russian.yml","5","[asoiaf_Targaryen_9.GetFirstName]","[asoiaf_Targaryen_9.GetFirstName] | [Select_CString(ROOT.Char.IsFemale, 'одна', 'один')]","Years of relentless pursuit carved away the person I once was. Each fleeting moment of safety only serves to remind me of the assassins one step behind. Begging for shelter from this noble or that... And through it all, the crushing weight of being the last hope of a dynasty — the greatest dynasty this world has ever seen — resting on my shoulders since I was seven years old.\n\nThe loss of [asoiaf_Targaryen_9.GetFirstName] hit me harder than any blade. She was my last tether to the past, my reason to endure the hardship. Without her, the darkness feels even more suffocating, and the path forward more ruthless. I am truly alone.\n\nYears in exile have taken their toll. The tender part of me is gone; kindness is a weakness I can no longer afford. To honour my sister's memory and preserve our legacy, I must become a weapon — cold, ruthless, and unyielding.","Годы беспощадной погони выточили из меня другого человека. Каждый краткий миг безопасности лишь напоминает: убийцы всё время на шаг позади. Вымаливать приют то у одного, то у другого... И сквозь всё это — давящий груз последней надежды династии, величайшей династии, какую когда-либо видел этот мир, лежащий на моих плечах с тех пор, как мне исполнилось семь.\n\nПотеря [asoiaf_Targaryen_9.GetFirstName] ударила сильнее любого клинка. Она была моей последней нитью к прошлому, моей причиной терпеть лишения. Без неё тьма кажется ещё удушливее, а путь вперёд — ещё жестче. Я по-настоящему [Select_CString(ROOT.Char.IsFemale, 'одна', 'один')].\n\nНо годы изгнания взяли своё. Мягкость во мне умерла; доброта стала слабостью, которой я больше не могу себе позволить. Чтобы чтить память сестры и сохранить наше наследие, мне нужно стать оружием: холодным, безжалостным и несгибаемым."
"asoiaf_maintenance_events_0002_a_desc","Brackets","localization/russian/event_localization/asoiaf_maintenance_l_russian.yml","9","[asoiaf_Targaryen_8.GetShortUIName] | [asoiaf_Targaryen_9_spouse.GetFirstName]","[asoiaf_Targaryen_9_spouse.GetFirstName]","Months of navigating the world as a married woman forged a new strength in me. No longer am I the timid girl under my brother's shadow. My union with [asoiaf_Targaryen_9_spouse.GetFirstName] awaked a power I never knew I had — a power to command, lead, and inspire.\n\n I am no longer just the sister of [asoiaf_Targaryen_8.GetShortUIName]. I am #bold Daenerys Stormborn#!, capable of ruling in my own right and born of fire and blood. With every step I feel the weight of my brother's shadow lifting, replaced by my own unyielding resolve.\n\nMy path ahead is clear. I will not be the pawn in another's game. I am the Blood of Old Valyria, the harbinger of a new age, and I will shape my own destiny. Fire now flows through my veins, as unbreakable as a dragon's scales.","Месяцы жизни в браке пробудили во мне новую силу. Я больше не робкая девочка в тени брата. Союз с [asoiaf_Targaryen_9_spouse.GetFirstName] разжёг во мне власть, о которой я и не подозревала, — власть повелевать, вести и вдохновлять.\n\nЯ больше не просто сестра Визериса Таргариена. Я — #bold Дейенерис Бурерождённая#!, способная править по праву, рождённая из огня и крови. С каждым шагом я чувствую, как тень брата отступает, уступая место моей собственной несгибаемой решимости.\n\nМой путь ясен. Я не стану пешкой в чужой игре. Во мне кровь Древней Валирии, я предвестница новой эпохи — и я сама выкую свою судьбу. Огонь течёт по моим жилам, столь же несокрушимый, как чешуя дракона."
"asoiaf_maintenance_events.0006.a","Brackets","localization/russian/event_localization/asoiaf_maintenance_l_russian.yml","28","","[Select_CString(ROOT.Char.IsFemale, 'Я должна', 'Я должен')]","I must secure my claim, no matter what","[Select_CString(ROOT.Char.IsFemale, 'Я должна', 'Я должен')] укрепить свои права любой ценой"
"asoiaf_maintenance_events_0011_a_desc","Brackets","localization/russian/event_localization/asoiaf_maintenance_l_russian.yml","55","[ROOT.Char.GetDynasty.GetBaseName] | [ROOT.Char.GetFather.GetFullName] | [ROOT.Char.GetTopLiege.GetName]","[ROOT.Char.GetDynasty.GetBaseName] | [ROOT.Char.GetFather.GetFullName] | [ROOT.Char.GetTopLiege.GetName] | [Select_CString(ROOT.Char.IsFemale, 'намерена', 'намерен')]","Word has reached me that my father, [ROOT.Char.GetFather.GetFullName], has passed from this world. In his final days he petitioned [ROOT.Char.GetTopLiege.GetName] for my legitimation, and the royal decree has now arrived bearing the monarch's seal.\n\nThe parchment crackles as I unfold it, the formal words transforming me from Ramsay Snow into Ramsay [ROOT.Char.GetDynasty.GetBaseName] in the eyes of gods and men alike. What was once denied to me by accident of birth is now mine by right — the ancient seat of the Dreadfort and all the power that comes with the Bolton name.\n\nMy father's last act ensures his bloodline will continue, and I intend to make sure it is #italic remembered#!.","До меня дошла весть: мой отец, [ROOT.Char.GetFather.GetFullName], покинул этот мир. В последние дни он просил [ROOT.Char.GetTopLiege.GetName] узаконить меня, и теперь прибыл королевский указ с печатью монарха.\n\nПергамент потрескивает, когда я разворачиваю его: официальные строки превращают Рамси Сноу в Рамси [ROOT.Char.GetDynasty.GetBaseName] в глазах богов и людей. То, что было отказано мне случайностью рождения, теперь принадлежит мне по праву — древняя твердыня Дредфорта и вся власть, что несёт имя Болтонов.\n\nПоследний поступок отца гарантирует, что его кровь продолжит жить, и я [Select_CString(ROOT.Char.IsFemale, 'намерена', 'намерен')] сделать так, чтобы её #italic помнили#!."
"asoiaf_maintenance_events_0011_b_desc","Brackets","localization/russian/event_localization/asoiaf_maintenance_l_russian.yml","56","[ROOT.Char.GetDynasty.GetBaseName] | [ROOT.Char.GetFather.GetFullName]","[ROOT.Char.GetDynasty.GetBaseName] | [ROOT.Char.GetFather.GetFullName] | [Select_CString(ROOT.Char.IsFemale, 'намерена', 'намерен')]","Word has reached me that my father, [ROOT.Char.GetFather.GetFullName], has passed from this world. Among his final acts, he signed a decree legitimising me as his trueborn heir, and the document has now been delivered bearing his seal.\n\nThe parchment crackles as I unfold it, the formal words transforming me from Ramsay Snow into Ramsay [ROOT.Char.GetDynasty.GetBaseName] in the eyes of gods and men alike. What was once denied to me by accident of birth is now mine by right — the ancient seat of the Dreadfort and all the power that comes with the Bolton name.\n\nMy father's last act ensures his bloodline will continue, and I intend to make sure it is #italic remembered#!.","До меня дошла весть: мой отец, [ROOT.Char.GetFather.GetFullName], покинул этот мир. Среди его последних деяний — подписанный указ, признающий меня законным наследником, и документ уже доставлен с его печатью.\n\nПергамент потрескивает, когда я разворачиваю его: официальные строки превращают Рамси Сноу в Рамси [ROOT.Char.GetDynasty.GetBaseName] в глазах богов и людей. То, что было отказано мне случайностью рождения, теперь принадлежит мне по праву — древняя твердыня Дредфорта и вся власть, что несёт имя Болтонов.\n\nПоследний поступок отца гарантирует, что его кровь продолжит жить, и я [Select_CString(ROOT.Char.IsFemale, 'намерена', 'намерен')] сделать так, чтобы её #italic помнили#!."
"asoiaf_maintenance_events.0012.a","Brackets","localization/russian/event_localization/asoiaf_maintenance_l_russian.yml","62","","[Select_CString(ROOT.Char.IsFemale, 'Я должна', 'Я должен')]","I must protect my children","[Select_CString(ROOT.Char.IsFemale, 'Я должна', 'Я должен')] защитить своих детей"
"asoiaf_maintenance_events_0013_desc","Brackets","localization/russian/event_localization/asoiaf_maintenance_l_russian.yml","66","[child.GetFirstNamePossessive] | [child.GetHerHim] | [child.GetHerHis] | [mother.GetFirstNameNoTooltip] | [mother.GetFirstNamePossessive] | [mother.GetHerHis] | [mother.GetSheHe] | [mother.GetSheHe] | [mother.GetTitleAsNameNoTooltip]","[child.GetFirstNamePossessive] | [child.GetHerHim] | [mother.GetFirstNameNoTooltip] | [mother.GetFirstNamePossessive] | [mother.GetHerHis] | [mother.GetSheHe] | [mother.GetSheHe] | [mother.GetTitleAsNameNoTooltip] | [Select_CString(mother.IsFemale, 'ой', 'ым')] | [Select_CString(mother.IsFemale, 'ой', 'ым')] | [Select_CString(ROOT.Char.IsFemale, 'ась', 'ся')]","Word reaches me of my brother [child.GetFirstNamePossessive] name day celebrations, marking the passing of [child.GetHerHis] infancy. I should feel joy for [child.GetHerHim], but instead a chill runs through me. Since [mother.GetTitleAsNameNoTooltip] [mother.GetFirstNamePossessive] marriage to my father, [mother.GetSheHe] has grown cold and distant, [mother.GetHerHis] warm smiles replaced by calculating stares. I've tried to bridge the gap between us, but [mother.GetSheHe] responds with barely-concealed hostility. The lords whisper of the ""rightful heir"" now that a prince has been born, as if my father's choice meant nothing. [mother.GetFirstNameNoTooltip] encourages these whispers — the girl who once defended me now questions my very right to exist as heir.\n\nI was named by the King. I am his chosen successor. Yet my dearest friend has become the architect of my undoing.","До меня доходят вести о праздновании дня имени моего брата [child.GetFirstNamePossessive] — знак того, что его младенчество осталось позади. Мне бы радоваться за [child.GetHerHim], но вместо этого по спине пробегает холод. С тех пор как [mother.GetTitleAsNameNoTooltip] [mother.GetFirstNamePossessive] стала женой моего отца, [mother.GetSheHe] сделалась холодн[Select_CString(mother.IsFemale, 'ой', 'ым')] и отстранённ[Select_CString(mother.IsFemale, 'ой', 'ым')]; [mother.GetHerHis] тёплые улыбки сменились расчётливыми взглядами. Я пытал[Select_CString(ROOT.Char.IsFemale, 'ась', 'ся')] сблизиться, но [mother.GetSheHe] отвечает едва прикрытой враждебностью. Лорды шепчут о «законном наследнике» теперь, когда родился принц, словно выбор моего отца ничего не значит. [mother.GetFirstNameNoTooltip] подогревает эти шёпоты — девочка, что когда-то защищала меня, теперь ставит под сомнение само моё право существовать как наследнице.\n\nМеня назвал король. Я — выбранная преемница. И всё же моя самая близкая подруга стала архитектором моего падения."
"asoiaf_maintenance_events_0014_desc","Brackets","localization/russian/event_localization/asoiaf_maintenance_l_russian.yml","71","[ROOT.Char.GetCapitalLocation.GetTitle.GetNameNoTierPossessiveNoTooltip] | [ROOT.Char.GetPrimaryTitle.GetNameNoTier] | [ROOT.Char.GetTitleAsNameNoTooltip]","[ROOT.Char.GetCapitalLocation.GetTitle.GetNameNoTierPossessiveNoTooltip] | [ROOT.Char.GetPrimaryTitle.GetNameNoTier] | [Select_CString(ROOT.Char.IsFemale, 'заняла', 'занял' )]","At long last I have come into my own, ruling [ROOT.Char.GetPrimaryTitle.GetNameNoTier] by right of blood and point of sword, as many have before me. But it takes more than that for a [ROOT.Char.GetTitleAsNameNoTooltip] to keep his head, symbols also serve a purpose in consolidating power. Perhaps a new sword will serve this purpose? One fashioned in the sigil of my House and imbued with markers of legitimacy.\n\nI could command [ROOT.Char.GetCapitalLocation.GetTitle.GetNameNoTierPossessiveNoTooltip] smiths to forge a fresh blade in my honour, ensuring it is made to my exacting standards.\n\nOr maybe I should dispense with this trivial matter — I have a realm to rule, after all.","Наконец-то я [Select_CString(ROOT.Char.IsFemale, 'заняла', 'занял' )] своё место, правя [ROOT.Char.GetPrimaryTitle.GetNameNoTier] по праву крови и острия меча, как и многие до меня. Но одного этого мало: символы тоже помогают укреплять власть. Может, новый меч послужит этой цели? Клинок, украшенный гербом моего дома и отмеченный знаками законности.\n\nЯ могу приказать кузнецам из [ROOT.Char.GetCapitalLocation.GetTitle.GetNameNoTierPossessiveNoTooltip] выковать свежий клинок в мою честь, сделанный по моим строгим требованиям.\n\nИли же мне стоит отбросить эту мелочь — у меня ведь есть держава, которой нужно править."
"asoiaf_maintenance_events_0015_desc","Brackets","localization/russian/event_localization/asoiaf_maintenance_l_russian.yml","77","[ROOT.Char.GetCapitalLocation.GetTitle.GetNameNoTierPossessiveNoTooltip] | [ROOT.Char.GetTitleAsNamePossessiveNoTooltip]","[ROOT.Char.GetCapitalLocation.GetTitle.GetNameNoTierPossessiveNoTooltip] | [ROOT.Char.GetTitleAsNamePossessiveNoTooltip] | [Select_CString(ROOT.Char.IsFemale, 'приказала', 'приказал' )]","A fortnight has passed since I commanded [ROOT.Char.GetCapitalLocation.GetTitle.GetNameNoTierPossessiveNoTooltip] smiths to forge me a new sword, and finally I am informed that the blade is finished.\n\nThe smiths usher me to their workshop where they unveil their labour. They have made me a bastard sword of great beauty, though perhaps not the height of craftsmanship. Its hilt is made of gold and carved antler bone, with the engraved pommel bearing an etching of a crown, and the guard shaped into a pair of antlers in honour of my House.\n\nThis sword would be a fine addition to any [ROOT.Char.GetTitleAsNamePossessiveNoTooltip] armoury... but is it worthy of #italic me#!?","Прошло две недели с тех пор, как я [Select_CString(ROOT.Char.IsFemale, 'приказала', 'приказал' )] кузнецам из [ROOT.Char.GetCapitalLocation.GetTitle.GetNameNoTierPossessiveNoTooltip] выковать мне новый меч, и наконец мне сообщили, что клинок готов.\n\nКузнецы проводят меня в свою мастерскую и показывают результат работы. Мне изготовили полуторный меч великой красоты, хотя, возможно, и не вершину мастерства. Эфес сделан из золота и резной кости оленьего рога; на гравированном навершии вытравлен силуэт короны, а гарда выполнена в виде пары рогов в честь моего дома.\n\nЭтот меч стал бы отличным пополнением любой [ROOT.Char.GetTitleAsNamePossessiveNoTooltip] оружейной... но достоин ли он #italic меня#!?"
"asoiaf_maintenance_events.0015.b","Brackets","localization/russian/event_localization/asoiaf_maintenance_l_russian.yml","79","","[Select_CString(ROOT.Char.IsFemale, 'хотела', 'хотел' )]","""This is hardly what I wanted, away with you!""","«Это совсем не то, чего я [Select_CString(ROOT.Char.IsFemale, 'хотела', 'хотел' )], прочь с глаз!»"
"asoiaf_kingsguard_dismissal_notification_desc","Brackets","localization/russian/interactions/asoiaf_character_interactions_l_russian.yml","17","[asoiaf_dismissing_monarch.GetTitledFirstNameNoTooltip] | [recipient.GetFirstNameNoTooltip]","[asoiaf_dismissing_monarch.GetTitledFirstNameNoTooltip] | [recipient.GetFirstNameNoTooltip] | [Select_CString(asoiaf_dismissing_monarch.IsFemale, 'насильно исключила', 'насильно исключил' )]","[asoiaf_dismissing_monarch.GetTitledFirstNameNoTooltip] forcibly dismissed Ser [recipient.GetFirstNameNoTooltip] from the Kingsguard","[asoiaf_dismissing_monarch.GetTitledFirstNameNoTooltip] [Select_CString(asoiaf_dismissing_monarch.IsFemale, 'насильно исключила', 'насильно исключил' )] сира [recipient.GetFirstNameNoTooltip] из Королевской гвардии"
"asoiaf_force_spouse_heir_designation_interaction_desc","Brackets","localization/russian/interactions/asoiaf_character_interactions_l_russian.yml","20","[designated_heir|E] | [recipient.GetHerHis] | [recipient.GetShortUINameNoTooltip] | [strife|E] | [vassals|E]","[designated_heir|E] | [recipient.GetShortUINameNoTooltip] | [strife|E] | [vassals|E]","Force [recipient.GetShortUINameNoTooltip] to declare you [recipient.GetHerHis] [designated_heir|E]\n@warning_icon! #X This is an abuse of power, and will cause [strife|E] with your peer [vassals|E]#!","Заставить [recipient.GetShortUINameNoTooltip] объявить вас своим [designated_heir|E]\n@warning_icon! #X Это злоупотребление властью и вызовет [strife|E] среди равных вам [vassals|E]#!"
"asoiaf_spouse_has_been_tortured","Brackets","localization/russian/interactions/asoiaf_character_interactions_l_russian.yml","23","[recipient.GetShortUINamePossessiveNoTooltip]","[recipient.GetShortUINameNoTooltip]","[recipient.GetShortUINamePossessiveNoTooltip] will has #bold not#! been broken through #V torture#!","Пытки #bold не#! сломили [recipient.GetShortUINameNoTooltip]"
"asoiaf_spouse_has_been_tortured","Format","localization/russian/interactions/asoiaf_character_interactions_l_russian.yml","23","#! | #! | #bold | #V","#! | #bold","[recipient.GetShortUINamePossessiveNoTooltip] will has #bold not#! been broken through #V torture#!","Пытки #bold не#! сломили [recipient.GetShortUINameNoTooltip]"
"asoiaf_Targaryen_61_1_modifier","Format","localization/russian/modifiers/asoiaf_modifiers_l_russian.yml","158","#bold","#! | #bold","[asoiaf_canon_children_concept|E]: #bold Aerion Targaryen","[asoiaf_canon_children_concept|E]: #bold Эйрион Таргариен#!"
"asoiaf_Tully_5_modifier","Format","localization/russian/modifiers/asoiaf_modifiers_l_russian.yml","656","#! | #Lady","#! | #bold","[asoiaf_canon_children_concept|E]: #Lady Stoneheart#!","[asoiaf_canon_children_concept|E]: #bold Леди Каменное Сердце#!"
