"Catalog","Key","File","Line","Text"
"EN","dragonpits_single_viewer.t","localization/replace/english/more_dragon_eggs_ui_l_english.yml","50","The [GetPlayer.MakeScope.Var('viewing_county').Title.GetProvince.Custom('mde_dragonpit_type_custom_loc')] of [GetPlayer.MakeScope.Var('viewing_county').Title.GetNameNoTier]"
"EN","dragonpits_single_viewer_landless.t","localization/replace/english/more_dragon_eggs_ui_l_english.yml","51","The Dragoncoop of [GetPlayer.MakeScope.Var('viewing_county').Title.GetNameNoTier]"
"EN","dragonpit_type","localization/replace/english/more_dragon_eggs_ui_l_english.yml","52","#italic [Title.GetProvince.Custom('mde_dragonpit_type_custom_loc')] #!"
"EN","dragonpit_type_landless","localization/replace/english/more_dragon_eggs_ui_l_english.yml","53","#italic $dragon_coop_01_domicile_building$ #!"
"EN","num_dragons_in_pit","localization/replace/english/more_dragon_eggs_ui_l_english.yml","54","Number of Dragons: [Title.MakeScope.ScriptValue('pit_has_this_many_dragons')|0]"
"EN","num_dragons_in_this_pit","localization/replace/english/more_dragon_eggs_ui_l_english.yml","55","Dragons in the [GetPlayer.MakeScope.Var('viewing_county').Title.GetProvince.Custom('mde_dragonpit_type_custom_loc')]: [GetPlayer.MakeScope.Var('viewing_county').Title.MakeScope.ScriptValue('pit_has_this_many_dragons')|0]"
"EN","num_dragons_in_this_coop","localization/replace/english/more_dragon_eggs_ui_l_english.yml","56","Dragons in the Dragoncoop: [GetPlayer.MakeScope.Var('viewing_county').Title.MakeScope.ScriptValue('pit_has_this_many_dragons')|0]"
"EN","num_eggs_in_pit","localization/replace/english/more_dragon_eggs_ui_l_english.yml","57","Number of Eggs: [Title.GetHolder.MakeScope.ScriptValue('pit_has_this_many_eggs')|0]"
"EN","num_eggs_in_this_pit","localization/replace/english/more_dragon_eggs_ui_l_english.yml","58","Pitted Dragon Eggs: [GetPlayer.MakeScope.Var('viewing_county').Title.GetHolder.MakeScope.ScriptValue('pit_has_this_many_eggs')|0]"
"EN","num_tamers_in_this_pit","localization/replace/english/more_dragon_eggs_ui_l_english.yml","59","Authorized Tamers: [GetPlayer.MakeScope.Var('viewing_county').Title.MakeScope.ScriptValue('pit_has_this_many_tamers')|0]"
"EN","move_dragon.t","localization/replace/english/more_dragon_eggs_ui_l_english.yml","60","Move [GetPlayer.MakeScope.Var('sgui_selected_dragon').GetCharacter.GetName]"
"EN","move_dragon_into.t","localization/replace/english/more_dragon_eggs_ui_l_english.yml","61","Move Dragon to [GetPlayer.MakeScope.Var('viewing_county_mover').Title.GetNameNoTier]"
"EN","DRAGONPIT_VIEW_DRAGONPIT_HOLDER","localization/replace/english/more_dragon_eggs_ui_l_english.yml","63","[dragonpit|E] Holder:"
"EN","RETRIEVE_EGG","localization/replace/english/more_dragon_eggs_ui_l_english.yml","64","#I Retrieve Egg #!"
"EN","RETRIEVE_EGGS","localization/replace/english/more_dragon_eggs_ui_l_english.yml","65","#I Retrieve All Eggs #!"
"EN","SEND_EGG","localization/replace/english/more_dragon_eggs_ui_l_english.yml","66","#I Pit Egg #!"
"EN","SEND_EGGS","localization/replace/english/more_dragon_eggs_ui_l_english.yml","67","#I Pit All Eggs #!"
"EN","SEND_DRAGON","localization/replace/english/more_dragon_eggs_ui_l_english.yml","68","#I Send Dragon To Dragonpit #!"
"EN","SEND_DRAGONS","localization/replace/english/more_dragon_eggs_ui_l_english.yml","69","#I Send All Dragons To Dragonpit #!"
"EN","MDE_MOVE_DRAGON_TT","localization/replace/english/more_dragon_eggs_ui_l_english.yml","71","#I Move this dragon into, out of, or between a dragonpit#!"
"EN","MDE_VERSION_BUILD","localization/replace/english/more_dragon_eggs_ui_l_english.yml","73","MDE Version: #color_yellow;bold $MDE_VERSION$#!"
"EN","MDE_VERSION","localization/replace/english/more_dragon_eggs_ui_l_english.yml","74","56"
"EN","MDE_VERSION_BUILD_TT","localization/replace/english/more_dragon_eggs_ui_l_english.yml","75","For CK3 Version: #color_yellow;bold 1.19.0.6#! AGOT Version: #color_yellow;bold 0.5.2.1#!"
"EN","MDE_RETURN_BUTTONS_TT","localization/replace/english/more_dragon_eggs_ui_l_english.yml","76","#I Return button settings to default#!"
"EN","menu_rule_can_hatch_multiple_dragons","localization/replace/english/more_dragon_eggs_ui_l_english.yml","78","Hatch Multiple Eggs In A Ceremony"
"EN","menu_rule_dragon_hatching_success_chance","localization/replace/english/more_dragon_eggs_ui_l_english.yml","79","Dragon Hatching Success Chance"
"EN","menu_rule_extant_hatching_ceremonies","localization/replace/english/more_dragon_eggs_ui_l_english.yml","80","Are Hatching Ceremonies Always Available"
"EN","menu_rule_dragon_egg_spawn_likelihood_player","localization/replace/english/more_dragon_eggs_ui_l_english.yml","81","Player Dragon Egg Map Spawn"
"EN","menu_rule_dragon_egg_spawn_likelihood_ai","localization/replace/english/more_dragon_eggs_ui_l_english.yml","82","AI Dragon Egg Map Spawn"
"EN","menu_rule_spawn_cannibal_egg","localization/replace/english/more_dragon_eggs_ui_l_english.yml","83","Spawn Cannibal Egg"
"EN","menu_rule_spawn_sheepstealer_egg","localization/replace/english/more_dragon_eggs_ui_l_english.yml","84","Spawn Sheepstealer Egg"
"EN","menu_rule_spawn_vhagar_egg","localization/replace/english/more_dragon_eggs_ui_l_english.yml","85","Spawn Vhagar Egg"
"EN","menu_rule_spawn_moondancer_egg","localization/replace/english/more_dragon_eggs_ui_l_english.yml","86","Spawn Moondancer Egg"
"EN","menu_rule_spawn_nagga_egg","localization/replace/english/more_dragon_eggs_ui_l_english.yml","87","Spawn Nagga Egg"
"EN","menu_rule_spawn_meraxes_egg","localization/replace/english/more_dragon_eggs_ui_l_english.yml","88","Spawn Meraxes Egg"
"EN","menu_rule_spawn_pythax_egg","localization/replace/english/more_dragon_eggs_ui_l_english.yml","89","Spawn Pythax Egg"
"EN","menu_rule_spawn_vassarion_egg","localization/replace/english/more_dragon_eggs_ui_l_english.yml","90","Spawn Vassarion Egg"
"EN","menu_rule_spawn_dragonstone_eggs","localization/replace/english/more_dragon_eggs_ui_l_english.yml","91","Spawn Dragonstone Eggs"
"EN","menu_rule_cradle_hatch_likelihood_player","localization/replace/english/more_dragon_eggs_ui_l_english.yml","92","Player Cradled Egg Hatching Likelihood"
"EN","menu_rule_cradle_hatch_likelihood_ai","localization/replace/english/more_dragon_eggs_ui_l_english.yml","93","AI Cradled Egg Hatching"
"EN","menu_rule_pit_hatch_likelihood_player","localization/replace/english/more_dragon_eggs_ui_l_english.yml","94","Player Pitted Egg Hatching"
"EN","menu_rule_pit_hatch_likelihood_ai","localization/replace/english/more_dragon_eggs_ui_l_english.yml","95","AI Pitted Egg Hatching"
"EN","menu_rule_canon_dragon_egg_hatch_likelihood","localization/replace/english/more_dragon_eggs_ui_l_english.yml","96","Canon Dragon Egg Hatching Likelihood"
"EN","menu_rule_dragon_egg_clutch_size","localization/replace/english/more_dragon_eggs_ui_l_english.yml","97","Dragon Egg Clutch Size"
"EN","menu_rule_dragon_egg_clutch_frequency","localization/replace/english/more_dragon_eggs_ui_l_english.yml","98","Player Owned Dragon Egg Clutch Frequency"
"EN","menu_rule_dragon_egg_clutch_frequency_ai","localization/replace/english/more_dragon_eggs_ui_l_english.yml","99","AI Owned Dragon Egg Clutch Frequency"
"EN","menu_rule_dragon_gene_frequency","localization/replace/english/more_dragon_eggs_ui_l_english.yml","100","Dragon Genetic Trait Frequency"
"EN","menu_rule_dragon_gene_frequency_naughty_or_nice","localization/replace/english/more_dragon_eggs_ui_l_english.yml","101","Dragon Genetic Trait Frequency Application"
"EN","menu_rule_cannibal_instinct_odds","localization/replace/english/more_dragon_eggs_ui_l_english.yml","102","Cannibal Instinct Event Odds"
"EN","menu_rule_ride_dragon_decision_cooldown","localization/replace/english/more_dragon_eggs_ui_l_english.yml","103","Ride Dragon Decision Cooldown"
"EN","menu_rule_capture_dragon_time_limit","localization/replace/english/more_dragon_eggs_ui_l_english.yml","104","Capture Dragon Time Limit"
"EN","menu_rule_stepstone_invasion_frequency","localization/replace/english/more_dragon_eggs_ui_l_english.yml","105","Stepstone Adventurer Invasion Frequency"
"EN","menu_rule_can_children_be_landless","localization/replace/english/more_dragon_eggs_ui_l_english.yml","106","Can Children Become Landless Adventurers"
"EN","menu_rule_can_landless_steal","localization/replace/english/more_dragon_eggs_ui_l_english.yml","107","Landless Adventurer Stealing"
"EN","menu_rule_mde_egg_notifications","localization/replace/english/more_dragon_eggs_ui_l_english.yml","108","Dragon Egg Notifications"
"EN","menu_menu_host_only","localization/replace/english/more_dragon_eggs_ui_l_english.yml","110","@warning_icon! #X The game is in multiplayer and you are not the host!#!"
"EN","egg_found","localization/replace/english/more_dragon_eggs_ui_l_english.yml","111","Found"
"EN","dragon_portrait_toggle","localization/replace/english/more_dragon_eggs_ui_l_english.yml","113","Dragon Portrait"
"EN","buttons_toggle","localization/replace/english/more_dragon_eggs_ui_l_english.yml","114","Buttons"
"EN","game_rule_toggle","localization/replace/english/more_dragon_eggs_ui_l_english.yml","115","Game Rules"
"EN","mde_dragon_portrait_toggle_tt","localization/replace/english/more_dragon_eggs_ui_l_english.yml","116","#T Dragon Portrait#!\nToggle dragon portrait."
"EN","mde_dragon_animation_idle_tt","localization/replace/english/more_dragon_eggs_ui_l_english.yml","117","#T Idle#!\nSet animation to dragon idle."
"EN","mde_dragon_animation_roar_tt","localization/replace/english/more_dragon_eggs_ui_l_english.yml","118","#T Roar#!\nSet animation to dragon roar. Not available for baby dragons."
"EN","mde_dragon_animation_roar_fire_tt","localization/replace/english/more_dragon_eggs_ui_l_english.yml","119","#T Fire#!\nSet animation to dragon roar fire."
"EN","mde_kingsguard_white_book_tt","localization/replace/english/more_dragon_eggs_ui_l_english.yml","120","#T The White Book#!\nOpen the White Book of the Kingsguard."
"EN","message_filter_dragon_egg_created","localization/replace/english/more_dragon_eggs_ui_l_english.yml","122","@dragon_icon! Dragon Egg Found"
"EN","message_filter_dragon_egg_created_desc","localization/replace/english/more_dragon_eggs_ui_l_english.yml","123","A [dragon|E] egg has been laid, found or brought into the world"
"EN","mde_include_egg","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","4","Include"
"EN","mde_dragon_contains_embryo_hatching","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","5","It contains the dragon #italic [Artifact.Custom('mde_dragon_embryo_name')]#!."
"EN","dragon_egg_embryo_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","7","[Artifact.Custom('mde_dragon_embryo_name')]"
"EN","mde_dragon_contains_embryo_builder","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","8","[newly_created_artifact.GetDesc] [newly_created_artifact.Custom('mde_dragon_embryo_line')]"
"EN","mde_dragon_contains_embryo","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","9","It contains the dragon #italic [ROOT.Artifact.Custom('mde_dragon_embryo_name')]#!."
"EN","mde_dragon_no_embryo_line","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","10",""
"EN","dragon_egg_vermithrax_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","14","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Vermithrax."
"EN","dragon_egg_anogaros_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","15","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Anogaros."
"EN","dragon_egg_nessarion_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","16","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Nessarion."
"EN","dragon_egg_archonei_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","17","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Archonei."
"EN","dragon_egg_balerion_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","18","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Balerion."
"EN","dragon_egg_meraxes_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","19","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Meraxes."
"EN","dragon_egg_quicksilver_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","20","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Quicksilver."
"EN","dragon_egg_vhagar_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","21","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Vhagar."
"EN","dragon_egg_caraxes_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","22","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Caraxes."
"EN","dragon_egg_meleys_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","23","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Meleys."
"EN","dragon_egg_dreamfyre_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","24","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Dreamfyre."
"EN","dragon_egg_vermithor_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","25","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Vermithor."
"EN","dragon_egg_silverwing_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","26","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Silverwing."
"EN","dragon_egg_seasmoke_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","27","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Seasmoke."
"EN","dragon_egg_sunfyre_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","28","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Sunfyre."
"EN","dragon_egg_syrax_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","29","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Syrax."
"EN","dragon_egg_tessarion_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","30","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Tessarion."
"EN","dragon_egg_vermax_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","31","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Vermax."
"EN","dragon_egg_arrax_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","32","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Arrax."
"EN","dragon_egg_tyraxes_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","33","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Tyraxes."
"EN","dragon_egg_stormcloud_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","34","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Stormcloud."
"EN","dragon_egg_moondancer_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","35","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Moondancer."
"EN","dragon_egg_wyrmling_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","36","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Starhunter."
"EN","dragon_egg_shrykos_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","37","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Shrykos."
"EN","dragon_egg_morghul_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","38","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Morghul."
"EN","dragon_egg_morning_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","39","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Morning."
"EN","dragon_egg_the_last_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","40","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Zalagon."
"EN","dragon_egg_nightfyre_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","41","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Nightfyre."
"EN","dragon_egg_cannibal_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","42","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Cannibal."
"EN","dragon_egg_sheepstealer_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","43","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Sheepstealer."
"EN","dragon_egg_grey_ghost_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","44","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Grey Ghost."
"EN","dragon_egg_drogon_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","45","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Drogon."
"EN","dragon_egg_rhaegal_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","46","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Rhaegal."
"EN","dragon_egg_viserion_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","47","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Viserion."
"EN","dragon_egg_serporoth_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","48","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Serporoth."
"EN","dragon_egg_maegor_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","49","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Lorcan."
"EN","dragon_egg_maegor_3_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","50","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Orion."
"EN","dragon_egg_maegor_4_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","51","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Blackfyre."
"EN","dragon_egg_maegor_5_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","52","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Ryax."
"EN","dragon_egg_maegor_6_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","53","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Morghon."
"EN","dragon_egg_maegor_7_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","54","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Lykax."
"EN","dragon_egg_maegor_8_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","55","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Malrax."
"EN","dragon_egg_maegor_9_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","56","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Spyrax."
"EN","dragon_egg_maegor_10_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","57","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Tallfyre."
"EN","dragon_egg_maegor_11_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","58","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Zuvdar."
"EN","dragon_egg_maegor_12_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","59","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Greyscale."
"EN","dragon_egg_laena_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","60","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Starhunter."
"EN","dragon_egg_aenys_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","61","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Goldfyre."
"EN","dragon_egg_aenys_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","62","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Deltharion."
"EN","dragon_egg_aerea_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","63","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Laengar."
"EN","dragon_egg_aerea_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","64","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Moonfyre."
"EN","dragon_egg_aerea_3_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","65","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Adereon."
"EN","dragon_egg_daenerys_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","66","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Hurax."
"EN","dragon_egg_aemond_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","67","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Winged Stranger."
"EN","dragon_egg_aemond_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","68","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Hegagon."
"EN","dragon_egg_aemond_3_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","69","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Qelos."
"EN","dragon_egg_essovius_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","70","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Essovius."
"EN","dragon_egg_valryon_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","71","[newly_created_artifact.GetDesc]\n\nThis egg will hatch valryon."
"EN","dragon_egg_ghiscar_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","72","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Ghiscar."
"EN","dragon_egg_terrax_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","73","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Terrax."
"EN","dragon_egg_vassarion_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","74","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Vassarion."
"EN","dragon_egg_rovax_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","75","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Rovax."
"EN","dragon_egg_neltharion_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","76","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Neltharion."
"EN","dragon_egg_pythax_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","77","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Pythax."
"EN","dragon_egg_nagga_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","78","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Nagga."
"EN","dragon_egg_urrax_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","79","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Urrax."
"EN","dragon_egg_dragon_ancestor_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","80","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Vaedar."
"EN","dragon_egg_dragon_ancestor_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","81","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Vezojaes."
"EN","dragon_egg_dragon_ancestor_3_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","82","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Falkael."
"EN","dragon_egg_dragon_ancestor_4_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","83","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Peldion."
"EN","dragon_egg_dragon_ancestor_5_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","84","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Volon."
"EN","dragon_egg_dragon_ancestor_6_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","85","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Telarion."
"EN","dragon_egg_vermithrax_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","87","This egg will hatch Vermithrax."
"EN","dragon_egg_anogaros_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","88","This egg will hatch Anogaros."
"EN","dragon_egg_nessarion_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","89","This egg will hatch Nessarion."
"EN","dragon_egg_archonei_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","90","This egg will hatch Archonei."
"EN","dragon_egg_balerion_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","91","This egg will hatch Balerion."
"EN","dragon_egg_meraxes_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","92","This egg will hatch Meraxes."
"EN","dragon_egg_quicksilver_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","93","This egg will hatch Quicksilver."
"EN","dragon_egg_vhagar_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","94","This egg will hatch Vhagar."
"EN","dragon_egg_caraxes_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","95","This egg will hatch Caraxes."
"EN","dragon_egg_meleys_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","96","This egg will hatch Meleys."
"EN","dragon_egg_dreamfyre_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","97","This egg will hatch Dreamfyre."
"EN","dragon_egg_vermithor_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","98","This egg will hatch Vermithor."
"EN","dragon_egg_silverwing_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","99","This egg will hatch Silverwing."
"EN","dragon_egg_seasmoke_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","100","This egg will hatch Seasmoke."
"EN","dragon_egg_sunfyre_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","101","This egg will hatch Sunfyre."
"EN","dragon_egg_syrax_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","102","This egg will hatch Syrax."
"EN","dragon_egg_tessarion_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","103","This egg will hatch Tessarion."
"EN","dragon_egg_vermax_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","104","This egg will hatch Vermax."
"EN","dragon_egg_arrax_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","105","This egg will hatch Arrax."
"EN","dragon_egg_tyraxes_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","106","This egg will hatch Tyraxes."
"EN","dragon_egg_stormcloud_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","107","This egg will hatch Stormcloud."
"EN","dragon_egg_moondancer_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","108","This egg will hatch Moondancer."
"EN","dragon_egg_wyrmling_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","109","This egg will hatch Starhunter."
"EN","dragon_egg_shrykos_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","110","This egg will hatch Shrykos."
"EN","dragon_egg_morghul_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","111","This egg will hatch Morghul."
"EN","dragon_egg_morning_ui_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","112","This egg will hatch Morning."
