catalog,file,line,key,text,header_valid,closed_quote
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,164,ourfury.0310.a,The gates hold. He can sit in the mud.,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,165,ourfury.0310.a.hold,"The gates hold, and my captains hold with them.",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,166,ourfury.0310.b.yield,"So it is tonight, and it is my own men.",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,167,ourfury.0310.b.yield.named,[fab_ourfury_captain.GetFirstName]. Not you as well.,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,168,ourfury.0310.c,Send to Orys. I will treat with him before they treat for me.,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,169,ourfury.0310.c.other,Send to [fab_ourfury_foe.GetTitledFirstName]. I will treat before my captains treat for me.,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,170,ourfury.0310.desc.nodragon,"[fab_ourfury_foe.GetTitledFirstName] has been camped beneath these walls long enough that the men have stopped using tents and started calling the place by a name. There has been no assault. Storm's End has never been taken by assault, and nobody down there is fool enough to want to be the first to try.\n\nI have four hundred men. I had four hundred when I put my father's crown on my head and I have four hundred still, which sounds like steadiness until you count how many of them have wives and fields in the villages that host is feeding. Nobody has opened a gate. That is not the same thing as nobody thinking about it.\n\nThere is no dragon over the bay. That is the one thing in this siege that has gone as no one expected, and I have watched men on the walls look up at an empty sky and stand a little straighter for it. An empty sky does not feed four hundred men, but I will take what the Seven send.\n\n#bold The gates hold as long as I say they hold. I would dearly like to know how long that will be true.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,172,ourfury.0320,The Gates Open Without Me,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,173,ourfury.0320.desc.delivered,"They came for me at night, and I will give them that much credit, because it meant they were ashamed. Four of my own captains, men who swore to me in this hall with my father three days in the ground. They took my sword first and the crown second and neither of them looked at me while they did it.\n\nThey carried me to Orys Waters bound and stripped and gagged, and they made a present of me, the way a man makes a present of plate or a horse or the keys to a gate. I have thought a great deal since about which of those they had in mind. I have settled on the keys.\n\nOrys had them whipped. He did not thank them, he did not pay them, and he had me cut loose and covered before he would hear one word from anyone in that tent. Whatever else may be true of the man, he knew exactly what had been done and he wanted no share in the doing of it.\n\n#bold Storm's End was not taken. It was sold, by men who could not have told you what they were selling.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,174,ourfury.0320.desc.parley,"I sent to [fab_ourfury_foe.GetTitledFirstName] under a peace banner and I walked out of my own gate to meet them, which is more than my father would have done and more than half my captains expected. There was no rope and nobody carried me. Whatever gets written about this afterward, that part belongs to me.\n\nThe terms are what they were always going to be. Storm's End, the stormlands, and the crown of Durran Godsgrief, all of it into Targaryen hands. Walking out standing bought me nothing at the table. It bought me walking out standing.\n\nMy captains are relieved and working hard not to show it, and I have decided not to hold that against them. Four hundred men against a host and a dragon was never a wall. It was a number I said out loud to see whether saying it would make it so.\n\n#bold I gave it away. That is not the same as having it taken, and I intend to be the one who remembers the difference.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,175,ourfury.0320.desc.beaten,"It is finished, and it finished in the field rather than at these gates, which is the only mercy anywhere in it. The stormlands are spent. There are no musters left to call, no lords left with men to send, and no road in this kingdom the Targaryens have not walked down at their leisure.\n\nI held Storm's End. That is the entire account of what I can say for myself. The walls never opened, the garrison never broke, and none of it mattered, because a kingdom is not a castle, and I ran out of the one while I was busy keeping the other.\n\nAegon's terms come south with [fab_ourfury_foe.GetTitledFirstName] and they are not cruel. They were never going to need to be. A man does not have to be cruel to a woman who has nothing left in her hands to take.\n\n#bold I kept the gate and lost the kingdom. My father would have understood that arithmetic and hated it exactly as much as I do.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,176,ourfury.0320.a,So it ends. Let me hear the terms.,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,177,ourfury.0320.desc.beaten.noorys,"It is finished, and it finished in the field rather than at these gates, which is the only mercy anywhere in it. The stormlands are spent. There are no musters left to call, no lords left with men to send, and no road in this kingdom the Targaryens have not walked down at their leisure.\n\nI held Storm's End. That is the entire account of what I can say for myself. The walls never opened, the garrison never broke, and none of it mattered, because a kingdom is not a castle, and I ran out of the one while I was busy keeping the other.\n\nAegon's terms arrive without the man who was meant to bring them. My father saw to that much. It has made no difference to a single line of them and I never thought it would, but I find I am glad of it anyway, and I have stopped apologising to myself for being glad.\n\n#bold I kept the gate and lost the kingdom. My father would have understood that arithmetic and hated it exactly as much as I do.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,179,ourfury.0321,"A Cloak, and a Name Not Mine",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,180,ourfury.0321.desc,"Orys Waters is to have Storm's End, and me along with it. Aegon has settled the matter the way he settles everything now, which is briefly and in writing, and there is nobody left standing in Westeros in a position to tell him otherwise.\n\nHe is not the creature my father described. My father made him out to be a stain, a bastard offered as an insult, and answered him with a box. I have watched the man for a fortnight and he is quiet, careful, unhandsome, and visibly uncomfortable with having won. That is worse in its way. It would be far easier if he were what I was promised.\n\nHe asked me rather than told me, which nothing required of him, and which I noticed. The answer is the same either way and we both know it. But he asked, and I will remember that he asked, and one day the singers will want to know which of those two things was the marriage.\n\n#bold I am the last of Durran's line and the first of whatever this is. Ours is the fury still. It will simply fly under a different beast.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,181,ourfury.0321.desc.delivered,"He put his own cloak on me before he asked me anything at all, and he did it himself, and he did it standing in front of the men who had brought me. That is the first thing I will say about Orys Waters and I have decided it is the thing I will keep saying, because the rest of that night belongs to me and I do not intend to hand it to singers.\n\nHe is to have Storm's End by Aegon's word, and me with it. I could tell you I was given no choice, and it would be true, and it would also be the smaller half of the truth. He asked. He asked after everything that had already been done to me, when not one man alive would have made him, and he waited for an answer he had no need of.\n\nMy father would have refused him. My father did refuse him, with a box, and that box is most of the reason I am standing in another man's cloak watching my house end behind me. I have thought about that a great deal and I am not sure I have finished.\n\n#bold He covered me when my own men would not. It is a thin thing to build a marriage on. It is more than my father left me.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,182,ourfury.0321.desc.noorys,"Orys Waters is dead, killed by my father in the mud in front of two armies, and the marriage Aegon designed for me died in the same place. There is no bastard left to hand me to and no cloak coming for my shoulders.\n\nAegon's terms stand regardless. The stormlands are his, the crown of Durran Godsgrief is his, and I hold Storm's End at his pleasure rather than by any right of my blood. What he has not done is find me another husband, and I have no intention of reminding him that the thought is available to him.\n\nSo I am the Durrandon who kept the seat and lost everything above it. Unmarried, unpromised, and for the moment unspoken for. My father would call that a poor bargain. My father is also dead, and the last thing he did on this earth was make certain the man meant to have me never would.\n\n#bold He is gone, and Orys is gone, and I am still here. That will have to serve for now.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,183,ourfury.0321.a,Give me the cloak. I know what it costs.,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,184,ourfury.0321.b,"Then I remain Durrandon, whatever else is lost.",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,186,ourfury.0170,The Knee and the Crown,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,187,ourfury.0170.desc,"It is finished, and I am alive to see the terms written. Aegon's answer comes after Orys's victory, formal and almost painfully restrained. He demands my crown and my oath, but he does not demand Storm's End, Argella's inheritance, or the destruction of my house. Courtesy in defeat is difficult to stomach, but it leaves a man fewer excuses for refusing to hear what is being offered.\n\nI surrender the crown of Durran Godsgrief and acknowledge Aegon as king. In return I remain Lord of Storm's End, holding the stormlands from the Marches to Tarth beneath Aegon's crown, with the revenues and rights of my house and the fealty of the lords who have sworn to the Durrandons. Argella remains my unquestioned heir.\n\nI ask what becomes of the marriage he once proposed. Aegon's answer is that Orys will be rewarded elsewhere and that he has no intention of using Argella's hand as a second price for lands I have already surrendered by oath. Whatever else may be said of him, he does not press the advantage beyond the terms he needs.\n\nI am the Durrandon who put down the crown, and that name will follow me. It will also follow Argella into Storm's End after I am gone. The kingship ends here, but the house does not. #bold I have lost a crown and kept the inheritance beneath it.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,188,ourfury.0170.a,So be it. Storm's End remains Durrandon.,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,190,ourfury.0200,Ours Is the Fury,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,191,ourfury.0200.desc,"Aegon's army has withdrawn from the stormlands. The men who followed Orys south are gone from our roads, their camps stand empty, and no dragon circles above the marches. I do not know where Aegon will turn next, and I have no intention of sitting in Storm's End inventing victories for him that he has not won.\n\nThe war has changed Westeros. Aegon's claims have not gone unanswered elsewhere, and every court has made its own choices while we fought. They can keep their own accounts. Mine is simple enough: Aegon sent an army into the stormlands, and that army went back without my crown. Whatever banners now fly beyond my borders, the crowned stag still flies here.\n\nWe have not restored the world that existed before the dragons crossed the Blackwater, nor could we. The Seven alone know what the next ravens will bring. For now, Storm's End is still mine, my lords still answer my summons, and no foreign king holds my oath. #bold Aegon may call himself conqueror where men have bent to him. In the stormlands he may call himself repulsed.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,192,ourfury.0200.a,"Send the news to every court, and in my own words.",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,193,ourfury.0200.desc.argella,"Aegon's army has withdrawn from the stormlands. Orys is gone from our roads, the camps below the walls are pits full of rainwater, and no dragon has been seen above the marches in a month.\n\nI was proclaimed on these walls with my father three days dead and a host in the fields below, and there were captains in this hall who did the arithmetic out loud in front of me. Four hundred men. One dragon across the bay. A girl of twenty in a dead man's crown. I kept a list of who said what. I have not yet decided what the list is for.\n\nThe war has changed Westeros and I will not pretend the stormlands changed it alone. Kings have knelt elsewhere and made their own bargains and must live in them. Mine is simpler than any of theirs. Aegon Targaryen sent an army for my crown and the army went home without it.\n\n#bold They believed they were burying House Durrandon. They were watching it change hands.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,195,ourfury.0201,The Courts Answer,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,196,ourfury.0201.desc,"The ravens begin before the field has dried. Some come from kings, some from lords, and some from men careful not to put a title at the top of the page. There are congratulations among them, but more questions. They want to know how Orys was beaten, what became of Meraxes, how badly Aegon's host was hurt, and whether Storm's End expects him to return. Men who would not have wagered a clipped copper on me before the battle have suddenly discovered great respect for the stormlands.\n\nOffers come mixed with the questions. Grain, horses, envoys, marriages, ships, and promises of mutual defense are all put before me, though their worth will depend entirely on who still keeps his word when the next army moves. I take none of it for friendship. The Father may judge sincerity; a king is better served judging what another man can actually deliver.\n\nWhat matters is that every court now understands that Aegon's will is not the same thing as fate. I know better than any of them what the victory cost and how much the weather favored us, but I also know whose men stood in that weather and whose sword killed Orys Waters. #bold I will hear every offer, and I will bargain from the seat Aegon failed to take from me.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,197,ourfury.0201.a,Answer every court. Make them wait on my words.,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,198,ourfury.0201.b,The men with ships first. Compliments garrison nothing.,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,199,ourfury.0201.desc.argella,"The ravens start before the ground has dried. Congratulations mostly, with questions underneath them. They want to know how the siege was broken, what became of Meraxes, how badly Orys was hurt, and whether Storm's End expects him back. Men who would not have wagered a clipped copper on me have discovered a sudden and enormous respect for the stormlands.\n\nA great many of them want to know who I mean to marry. Two have proposed themselves. One has proposed his son, who is eleven. I am reading these letters slowly and answering none of them quickly, because a queen in a hurry to be married is a queen who has told the world exactly what she thinks she is worth.\n\nThe offers come tangled in with the questions. Grain, horses, ships, envoys, promises of mutual defense. Their value depends entirely on who still keeps his word when the next army moves, and I have lately finished learning precisely how many men keep their word with a dragon in the bay.\n\n#bold I will hear every offer. I will bargain from the seat Aegon could not take and my own captains could not sell.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,201,ourfury.0202,The Dragonlords Remain,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,202,ourfury.0202.desc,"Reports continue to reach Storm's End from merchants, captains, and men paid to listen in ports where Aegon's ships are known. They agree on very little except that defeat in the stormlands has not ended his ambitions. Good. I would have thought less of him if one bloody nose sent him hiding forever on Dragonstone, though I would sleep better for it.\n\nWhatever lands Aegon now holds, whatever dragons remain to his house, and whatever wars occupy him elsewhere, none of them makes Storm's End safe. He can return himself, send another commander, wait for my death, or whisper terms to lords who resent the price I have made them pay. Only a fool prepares for the enemy he wishes he had, and whatever else my enemies call me, they have not yet proved me a fool.\n\nI will not hold Storm's End forever. Argella will inherit after me, and her heirs after her. What I leave them must be stronger than the circumstances that favored me on one flooded field. Forts, ships, alliances, scouts, and peace where peace can be bought will serve them better than prayers for the same gale. The Seven gave men hands as well as prayers, and I mean to use both. #bold Aegon may come again. Next time I mean for the stormlands to be ready before the clouds gather.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,203,ourfury.0202.a,Fortify the coast. The next dragon will find us waiting.,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,204,ourfury.0202.b,Send an envoy. Even Aegon can understand a profitable peace.,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,205,ourfury.0202.desc.argella,"Reports keep arriving from merchants, captains, and men paid to loiter in ports where Aegon's ships put in. They agree on almost nothing except that one reverse in the stormlands has not ended his ambitions. I would think less of him if it had, though I would sleep a good deal better.\n\nHe can come himself. He can send another commander. He can simply wait, which costs him nothing and costs me every year I spend waiting back. Or he can do the cheapest thing available and whisper terms to storm lords who have already discovered what my crown is worth to them under pressure. I know which I would choose in his place.\n\nSo the walls go higher, the coast gets watched, the men who held these gates get land, and the men who talked of opening them get remembered. I have no husband and no heirs and a great deal of time in which to acquire both carefully. What I leave behind has to be stronger than one lifted siege and a season of foul weather.\n\n#bold Aegon may come again. Next time I mean for the stormlands to be waiting before the clouds gather.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,207,ourfury.0210,Why Stop Here?,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,208,ourfury.0210.desc,"The ravens have stopped bringing me bad news, which is a stranger feeling than I expected. Aegon Targaryen came south with three dragons and every kingdom he had already swallowed, and he went home without my crown. Men who spent a year explaining to me why the stormlands could not be held are now explaining to visitors how we held them.\n\nSo I have been sitting with a thought I do not much like the look of, and it will not leave. Every argument for why I should have knelt was an argument about dragons. There are fewer dragons now than there were, and the ones that remain have learned to be careful over my country. If the thing that made Aegon inevitable is no longer inevitable, then what exactly is the Trident? What is Highgarden? What is Sunspear?\n\nThey are old crowns worn by men who watched the storm break a conqueror and did nothing, because it cost them nothing to wait and see whether I lived. Not one raven of support. Not one spear. They will remember that differently in a year, and so will I.\n\nMy lords have not said it aloud, but they have started saying everything that comes just before it. The muster is still standing. The men who beat Orys are still in the field and still fed. There will never be a better moment, and I have never in my life been accused of patience.\n\n#bold I broke the dragon. Now the rest of them can explain why they should not bend the knee to the storm.#!",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,209,ourfury.0210.a,"Draw up the claims. The Trident, the Reach, and Dorne.",True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,210,ourfury.0210.b,The maesters can write it down. I will choose my moment.,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,212,fab_ourfury_ascendancy_unlocked,The Storm Ascendant,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,214,fab_last_storm_king_modifier,The Last Storm,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,215,fab_ourfury_kingswood_ambush,War Beneath the Trees,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,216,fab_ourfury_cavalry_posture,The Storm Lords Ride,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,217,fab_ourfury_rainwood_attrition,The Rainwood Answers,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,218,fab_ourfury_storm_season,Grounded by the Gale,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,219,fab_ourfury_shattered_shoulder,A Shoulder That Will Not Lift,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,220,fab_ourfury_undefeated_modifier,The King Who Was Not Beaten,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,221,fab_ourfury_storms_end_defiance,Durran's Seventh Wall,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,223,fab_ourfury_marchers_gone,The Marches Ride Home,True,True
EN,localization/english/ac/fab_ac_ourfury_l_english.yml,224,fab_ourfury_orys_oath_modifier,Oath Sworn at Storm's End,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,2,fab_conquest_pause.option,We need time to prepare before continuing the Conquest.,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,3,fab_conquest_pause.tt,#I The Conquest will wait upon the King's pleasure. Resume it from the Decisions menu — against whichever kingdom you choose.#!,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,4,fab_decision_conquer_riverlands,Conquer the Riverlands,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,5,fab_decision_conquer_riverlands_desc,"Black Harren sits behind the tallest walls ever raised by man, and the riverlords groan beneath him. Walls are wood and stone, mortar and toil. The towers of Harrenhal are not so tall as Balerion flies — and the Trident waits for a better master.",True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,6,fab_decision_conquer_riverlands_tooltip,Resume the Conquest: take the Riverlands from Harren the Black.,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,7,fab_decision_conquer_riverlands_confirm,The Trident awaits.,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,8,fab_decision_conquer_stormlands,Conquer the Stormlands,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,9,fab_decision_conquer_stormlands_desc,"Argilac the Arrogant still styles himself the Storm King, and his insult has not been forgotten. Orys shall lead the host south, and Rhaenys shall fly above it. The old man shall have the storm he asked for.",True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,10,fab_decision_conquer_stormlands_tooltip,Resume the Conquest: bring down the last Storm King.,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,11,fab_decision_conquer_stormlands_confirm,Break the storm.,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,12,fab_decision_conquer_west,Conquer the Reach and the Rock,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,13,fab_decision_conquer_west_desc,"Two kings yet rule beyond the Mander and the Rock — and two kings together are still fewer than three dragons. If Mern and Loren wish to join their hosts against us, we shall oblige them a field to do it on.",True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,14,fab_decision_conquer_west_tooltip,Resume the Conquest: the war for the west — the Reach and the Westerlands both.,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,15,fab_decision_conquer_west_confirm,Face the lion and rose.,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,16,fab_decision_conquer_vale,Bring the Vale into the Realm,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,17,fab_decision_conquer_vale_desc,"The Falcon perches above the clouds behind her mountains and her Bloody Gate, and thinks herself beyond our reach. Send word to the Eyrie: no pass is high enough to shut out a dragon. We shall hear what terms the Queen Regent offers — or take none.",True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,18,fab_decision_conquer_vale_tooltip,Resume the Conquest: turn upon the Vale of Arryn.,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,19,fab_decision_conquer_vale_confirm,The Eyrie must answer.,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,20,fab_decision_march_on_north,March on the North,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,21,fab_decision_march_on_north_desc,"South of the Neck the kingdoms are ours; north of it, Torrhen Stark still wears the Crown of Winter. The host will march north through the riverlands to the Neck, with the dragons flying before it — and we shall see whether the King in the North chooses ice or fire.",True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,22,fab_decision_march_on_north_tooltip,Resume the Conquest: march upon the King in the North. The south must be won first.,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,23,fab_decision_march_on_north_confirm,The Dragon flies North,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,24,fab_conquest_north_launch.option,"And now, the North.",True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,25,fab_conquest_north_won.option,The North already kneels. The realm grows.,True,True
EN,localization/english/ac/fab_ac_pacing_l_english.yml,26,fab_conquest_north_marching.option,The host is already marching on the North.,True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,2,fab_ac_rollback.0001,The Conquest Undone,True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,3,fab_ac_rollback.0001.desc,"Aegon Targaryen will be remembered not as the founder of a realm, but as the dragonlord whose ambition outran his strength. His defeat leaves House Targaryen with a bitter lesson: dragons inspire terror, yet terror alone cannot guarantee dominion.",True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,4,fab_ac_rollback.0001.option1,A kingdom that will never be.,True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,6,fab_ac_rollback.0002,A Dream of Conquest Ends,True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,7,fab_ac_rollback.0002.desc,"The attempt to forge one realm from seven has failed. Aegon's name will survive as a warning to later Targaryens that blood and dragons cannot rescue every reckless ambition. Westeros remains divided, and the painted table records a future that never came to pass.",True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,8,fab_ac_rollback.0002.option1,The dream dies with the war.,True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,10,fab_ac_rollback.0003,Two Ancient Crowns Broken,True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,11,fab_ac_rollback.0003.desc.loren,"The ravens arrive at Casterly Rock in a black procession. Harren Hoare is defeated, his vast river kingdom torn from the ironborn grip. Argilac Durrandon has fallen as well, and the storm crown worn since the days of Durran Godsgrief is no more.\n\nThese were not weak kings ruling meager lands. Harren trusted the strongest walls ever built; Argilac had spent a lifetime proving himself in battle. Aegon Targaryen broke them both before the year was out. What began as a foreign lord's impossible boast now advances westward as conquest.\n\nThe Rock remains, and Highgarden remains. If lion and green hand are to stop the dragon, we must do what stag and black crown could not: meet fire together, with all the strength of two kingdoms.",True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,12,fab_ac_rollback.0003.desc.mern,"The news is read aloud beneath the green arches of Highgarden. Harren Hoare's river kingdom has been broken and Argilac Durrandon has fallen; two royal lines that ruled before the Andals crossed the narrow sea have been swept aside within a single campaigning season.\n\nHarren believed no fire could master stone. Argilac believed no young conqueror could master him. Their failures leave the lesson plainly written: Aegon must not be allowed to choose the ground, isolate another crown, and bring all three dragons against one kingdom at a time. The Reach has more men than any realm alive, but numbers scattered among castles will burn castle by castle.\n\nOnly the Rock can add enough strength to make certainty of advantage. I must bring Loren Lannister into alliance, gather both kingdoms at one field, and force the dragon to face more men than even three beasts can kill.",True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,13,fab_ac_rollback.0003.desc,"Harren Hoare and Argilac Durrandon are defeated. The kingdoms of river and storm have fallen before Aegon Targaryen, and two ancient crowns have vanished in a single season.\n\nHarrenhal's walls and Argilac's valor both proved helpless against dragons. What began as an audacious claim from a lord of the narrow sea has become a conquest advancing across Westeros. Every realm still free must now decide whether to stand alone, seek allies, or bend before the fire reaches its borders.",True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,14,fab_ac_rollback.0003.option.loren,Send to Highgarden. The lion will not face the dragon alone.,True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,15,fab_ac_rollback.0003.option.mern,Summon the Reach. Then send my raven to the Rock.,True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,16,fab_ac_rollback.0003.option1,The war has changed. We must prepare.,True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,18,fab_ac_rollback.0004,The Lion and Hand Laid Low,True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,19,fab_ac_rollback.0004.desc,"The combined strength of House Lannister and House Gardener has been shattered. The richest kingdoms in Westeros gathered an army without equal, only to see it broken beneath the dragons. \n \nIf Aegon can destroy such a host, every remaining crown must wonder who can still halt him.",True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,20,fab_ac_rollback.0004.option1,The balance of Westeros has broken.,True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,22,fab_ac_rollback.0005,The Crowning of Aegon I Targaryen,True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,23,fab_ac_rollback.0005.desc,"Beneath the crystal dome of Oldtown's Starry Sept, the High Septon anointed Aegon Targaryen with the seven oils and set a crown upon his head. Before the assembled lords and faithful, he proclaimed him #bold Aegon of House Targaryen, the First of His Name, King of the Andals, the Rhoynar, and the First Men, Lord of the Seven Kingdoms, and Protector of the Realm.#!\n\nVisenya had crowned Aegon once already beside the Blackwater, witnessed by only a small company. Here hundreds watched the rite, including the maesters and archmaesters of the Citadel; afterward tens of thousands filled Oldtown's streets as the new king rode Balerion through the city. It is this second crowning that the histories will remember as the beginning of his reign.\n\nWith steel, flame, and the strength of his sisters, Aegon has hammered the kingdoms of Westeros into a single realm. Now the Faith itself has blessed what the dragons won.",True,True
EN,localization/english/ac/fab_ac_rollback_l_english.yml,24,fab_ac_rollback.0005.option1,One realm now stands beneath the dragon's crown.,True,True
EN,localization/english/ac/fab_dorne_events_l_english.yml,2,fab_dorne.0001,Thirty Thousand Spears,True,True
EN,localization/english/ac/fab_dorne_events_l_english.yml,3,fab_dorne.0001.desc,"Dorne has answered conquest as Dorne answers everything: with sand, stone, and patience.\n\nThirty thousand spears are said to wait in the Prince's Pass, with near two thousand knights and three hundred lords among them. [fab_reach_lord.GetTitledFirstName] leads the royal host down through the red mountains, eager to prove the new rose was planted for more than courtly fragrance. Orys takes a thousand picked knights into the Boneway, where the road narrows and every shadow has a bowstring.\n\nAbove them all fly dragons. Rhaenys and Meraxes sweep for the coast, Visenya watches the passes, and I hold the center with Balerion's shadow over my banners.\n\n#bold This is no king's field, nor a wall like Harrenhal. Dorne must be taken by road, well, pass, and thirsting mile.#!",True,True
EN,localization/english/ac/fab_dorne_events_l_english.yml,4,fab_dorne.0001.option1,Take the first mile.,True,True
EN,localization/english/ac/fab_dorne_events_l_english.yml,6,fab_dorne.0002,First Blood,True,True
EN,localization/english/ac/fab_dorne_events_l_english.yml,7,fab_dorne.0002.desc,"Rhaenys has made the first mark upon Dorne.\n\nMeraxes came down upon the Planky Town in smoke and terror, and the poleboats of the orphans burned on the Greenblood like festival lanterns. Lemonwood yielded empty halls. Spottswood and Stinkwater opened their gates, and behind those gates my sister found old women, children, and servants who had seen nothing, heard nothing, and could name no man worth burning.\n\nShe flew the length of the Greenblood and back again looking for an army. There is none. The shadow city beneath Sunspear stands half deserted, and the old princess herself is nowhere to be found. Wherever the lords of Dorne have gone, they have taken every spear in the country with them and left us their grandmothers.\n\n#bold Dragonfire has found towns, towers, and empty rooms. It has not yet found Dorne.#!",True,True
EN,localization/english/ac/fab_dorne_events_l_english.yml,8,fab_dorne.0002.option1,Keep searching.,True,True
EN,localization/english/ac/fab_dorne_events_l_english.yml,10,fab_dorne.0003,Sand and Silence,True,True
